a,b,la,lb
<http://bk.sport.owl#david-kinsombi>,<http://bk.sport.owl#eintracht-frankfurt>,"Kinsombi","Eintracht Frankfurt"@en
<http://bk.sport.owl#yordan-minev>,<http://bk.sport.owl#botev-plovdiv>,"Yordan Minev"@en,"Botev Plovdiv"@en
<http://bk.sport.owl#kyriakos-savvidis>,<http://bk.sport.owl#aris-thessaloniki>,"kyriakos savvidis"@en,"Aris Thessaloniki"@en
<http://bk.sport.owl#kyriakos-savvidis>,<http://bk.sport.owl#aris-thessaloniki-\u00A0>,"kyriakos savvidis"@en,"Aris Thessaloniki \u00A0"@en
<http://bk.sport.owl#vladimir-sugrobov>,<http://bk.sport.owl#anzhi-makhachkala>,"Vladimir Sugrobov"@en,"Anzhi Makhachkala"@en
<http://bk.sport.owl#gaotan-laborde>,<http://bk.sport.owl#fc-girondins-bordeaux>,"Laborde","FC Girondins Bordeaux"@en
<http://bk.sport.owl#alberto-cerri>,<http://bk.sport.owl#cagliari-calcio>,"Alberto Cerri"@en,"Cagliari Calcio"@en
<http://bk.sport.owl#alberto-cerri>,<http://bk.sport.owl#cagliari-calcio>,"alberto cerri"@en,"Cagliari Calcio"@en
<http://bk.sport.owl#ryan-flynn>,<http://bk.sport.owl#st.-mirren>,"ryan flynn"@en,"St. Mirren FC"@en
<http://bk.sport.owl#ryan-flynn>,<http://bk.sport.owl#st.-mirren>,"Ryan Flynn"@en,"St. Mirren FC"@en
<http://bk.sport.owl#ruben-blanco>,<http://bk.sport.owl#celta-de-vigo>,"ruben blanco"@en,"Celta de Vigo"@en
<http://bk.sport.owl#ivan-cvorovic>,<http://bk.sport.owl#botev-plovdiv>,"Ivan Cvorovic"@en,"Botev Plovdiv"@en
<http://bk.sport.owl#ivan-cvorovic>,<http://bk.sport.owl#botev-plovdiv>,"ivan cvorovic"@en,"Botev Plovdiv"@en
<http://bk.sport.owl#kalle-bj\u00F6rklund>,<http://bk.sport.owl#hammarby-if>,"Kalle Bj\u00F6rklund"@en,"Hammarby IF"@en
<http://bk.sport.owl#jos\u00E9-crespo>,<http://bk.sport.owl#paok-thessaloniki>,"Jos\u00E9 Crespo"@en,"PAOK Thessaloniki"@en
<http://bk.sport.owl#martin-maloca>,<http://bk.sport.owl#hnk-gorica-\u00A0>,"Martin Maloca"@en,"HNK Gorica \u00A0"@en
<http://bk.sport.owl#martin-maloca>,<http://bk.sport.owl#hnk-gorica-\u00A0>,"martin maloca"@en,"HNK Gorica \u00A0"@en
<http://bk.sport.owl#jonas-carls>,<http://bk.sport.owl#fc-schalke-04>,"jonas carls"@en,"FC Schalke 04"@en
<http://bk.sport.owl#damian-dabrowski>,<http://bk.sport.owl#cracovia-krak\u00F3w>,"Damian Dabrowski"@en,"Cracovia Krak\u00F3w"@en
<http://bk.sport.owl#damian-dabrowski>,<http://bk.sport.owl#cracovia-krak\u00F3w>,"damian dabrowski"@en,"Cracovia Krak\u00F3w"@en
<http://bk.sport.owl#oleksandr-kalitov>,<http://bk.sport.owl#chornomorets-odessa>,"oleksandr kalitov"@en,"Chornomorets Odessa"@en
<http://bk.sport.owl#oleksandr-kalitov>,<http://bk.sport.owl#chornomorets-odessa>,"Oleksandr Kalitov"@en,"Chornomorets Odessa"@en
<http://bk.sport.owl#andres-prieto>,<http://bk.sport.owl#cd-legan\u00E9s>,"andres prieto"@en,"CD Legan\u00E9s"@en
<http://bk.sport.owl#vaclav-prochazka>,<http://bk.sport.owl#fc-banik-ostrava>,"vaclav prochazka"@en,"FC Banik Ostrava"@en
<http://bk.sport.owl#meris-skenderovic>,<http://bk.sport.owl#tsv-hartberg-\u00A0>,"meris skenderovic"@en,"TSV Hartberg \u00A0"@en
<http://bk.sport.owl#maksim-volodko>,<http://bk.sport.owl#fc-bate-borisov-fc>,"Maksim Volodko"@en,"FC BATE Borisov"@en
<http://bk.sport.owl#maksim-volodko>,<http://bk.sport.owl#fc-bate-borisov>,"Maksim Volodko"@en,"FC BATE Borisov"@en
<http://bk.sport.owl#simone-iacoponi>,<http://bk.sport.owl#parma-calcio-1913-\u00A0>,"simone iacoponi"@en,"Parma Calcio 1913 \u00A0"@en
<http://bk.sport.owl#simone-iacoponi>,<http://bk.sport.owl#parma-calcio-1913-\u00A0>,"Simone Iacoponi"@en,"Parma Calcio 1913 \u00A0"@en
<http://bk.sport.owl#alexander-manninger>,<http://bk.sport.owl#fc-augsburg>,"Manninger","FC Augsburg"@en
<http://bk.sport.owl#milan-borjan>,<http://bk.sport.owl#red-star-belgrade>,"milan borjan"@en,"Red Star Belgrade"@en
<http://bk.sport.owl#milan-borjan>,<http://bk.sport.owl#red-star-belgrade>,"Milan Borjan"@en,"Red Star Belgrade"@en
<http://bk.sport.owl#roberto-inglese>,<http://bk.sport.owl#parma-calcio-1913-\u00A0>,"roberto inglese"@en,"Parma Calcio 1913 \u00A0"@en
<http://bk.sport.owl#roberto-inglese>,<http://bk.sport.owl#parma-calcio-1913-\u00A0>,"Roberto Inglese"@en,"Parma Calcio 1913 \u00A0"@en
<http://bk.sport.owl#roberto-inglese>,<http://bk.sport.owl#parma-calcio-1913-\u00A0>,"Inglese","Parma Calcio 1913 \u00A0"@en
<http://bk.sport.owl#roberto-inglese>,<http://bk.sport.owl#chievo-verona>,"roberto inglese"@en,"Chievo Verona"@en
<http://bk.sport.owl#roberto-inglese>,<http://bk.sport.owl#chievo-verona>,"Roberto Inglese"@en,"Chievo Verona"@en
<http://bk.sport.owl#roberto-inglese>,<http://bk.sport.owl#chievo-verona>,"Inglese","Chievo Verona"@en
<http://bk.sport.owl#ataberk-dadakdeniz>,<http://bk.sport.owl#bursaspor>,"ataberk dadakdeniz"@en,"Bursaspor"@en
<http://bk.sport.owl#ataberk-dadakdeniz>,<http://bk.sport.owl#bursaspor>,"Ataberk Dadakdeniz"@en,"Bursaspor"@en
<http://bk.sport.owl#alex-blanco>,<http://bk.sport.owl#deportivo-alav\u00E9s>,"alex blanco"@en,"Deportivo Alav\u00E9s"@en
<http://bk.sport.owl#jurgen-ekkelenkamp>,<http://bk.sport.owl#ajax-amsterdam>,"jurgen ekkelenkamp"@en,"Ajax Amsterdam"@en
<http://bk.sport.owl#v\u00EDctor-laguardia>,<http://bk.sport.owl#deportivo-alav\u00E9s>,"V\u00EDctor Laguardia"@en,"Deportivo Alav\u00E9s"@en
<http://bk.sport.owl#ximo-navarro>,<http://bk.sport.owl#deportivo-alav\u00E9s>,"Ximo Navarro"@en,"Deportivo Alav\u00E9s"@en
<http://bk.sport.owl#ximo-navarro>,<http://bk.sport.owl#deportivo-alav\u00E9s>,"ximo navarro"@en,"Deportivo Alav\u00E9s"@en
<http://bk.sport.owl#volodymyr-krynskyi>,<http://bk.sport.owl#olimpik-donetsk>,"Volodymyr Krynskyi"@en,"Olimpik Donetsk"@en
<http://bk.sport.owl#volodymyr-krynskyi>,<http://bk.sport.owl#olimpik-donetsk>,"volodymyr krynskyi"@en,"Olimpik Donetsk"@en
<http://bk.sport.owl#leonidas-argyropoulos>,<http://bk.sport.owl#ofi-crete-\u00A0>,"leonidas argyropoulos"@en,"OFI Crete \u00A0"@en
<http://bk.sport.owl#leonidas-argyropoulos>,<http://bk.sport.owl#ofi-crete-\u00A0>,"Leonidas Argyropoulos"@en,"OFI Crete \u00A0"@en
<http://bk.sport.owl#leonidas-argyropoulos>,<http://bk.sport.owl#ofi-crete>,"leonidas argyropoulos"@en,"OFI Crete"@en
<http://bk.sport.owl#leonidas-argyropoulos>,<http://bk.sport.owl#ofi-crete>,"Leonidas Argyropoulos"@en,"OFI Crete"@en
<http://bk.sport.owl#yassine-benrahou>,<http://bk.sport.owl#fc-girondins-bordeaux>,"yassine benrahou"@en,"FC Girondins Bordeaux"@en
<http://bk.sport.owl#hernani>,<http://bk.sport.owl#zenit-st.-petersburg>,"Hernani"@en,"Zenit St. Petersburg"@en
<http://bk.sport.owl#hernani>,<http://bk.sport.owl#zenit-st.-petersburg>,"hernani"@en,"Zenit St. Petersburg"@en
<http://bk.sport.owl#hernani>,<http://bk.sport.owl#fc-porto>,"Hernani"@en,"FC Porto"@en
<http://bk.sport.owl#hernani>,<http://bk.sport.owl#fc-porto>,"hernani"@en,"FC Porto"@en
<http://bk.sport.owl#mihai-bordeianu>,<http://bk.sport.owl#cfr-cluj>,"Mihai Bordeianu"@en,"CFR Cluj"@en
<http://bk.sport.owl#mihai-bordeianu>,<http://bk.sport.owl#cfr-cluj>,"mihai bordeianu"@en,"CFR Cluj"@en
<http://bk.sport.owl#zauri-makharadze>,<http://bk.sport.owl#zorya-lugansk>,"Zauri Makharadze"@en,"Zorya Lugansk"@en
<http://bk.sport.owl#zauri-makharadze>,<http://bk.sport.owl#zorya-lugansk>,"zauri makharadze"@en,"Zorya Lugansk"@en
<http://bk.sport.owl#zauri-makharadze>,<http://bk.sport.owl#zorya-luhansk>,"Zauri Makharadze"@en,"Zorya Luhansk"@en
<http://bk.sport.owl#zauri-makharadze>,<http://bk.sport.owl#zorya-luhansk>,"zauri makharadze"@en,"Zorya Luhansk"@en
<http://bk.sport.owl#karel-soldat>,<http://bk.sport.owl#1.fk-pribram>,"Karel Soldat"@en,"1.FK Pribram"@en
<http://bk.sport.owl#karel-soldat>,<http://bk.sport.owl#1.fk-pribram>,"karel soldat"@en,"1.FK Pribram"@en
<http://bk.sport.owl#edi-sylisufaj>,<http://bk.sport.owl#falkenbergs-ff-\u00A0>,"edi sylisufaj"@en,"Falkenbergs FF \u00A0"@en
<http://bk.sport.owl#miguel-mellado>,<http://bk.sport.owl#ofi-crete-\u00A0>,"miguel mellado"@en,"OFI Crete \u00A0"@en
<http://bk.sport.owl#miguel-mellado>,<http://bk.sport.owl#ofi-crete-\u00A0>,"Miguel Mellado"@en,"OFI Crete \u00A0"@en
<http://bk.sport.owl#miguel-mellado>,<http://bk.sport.owl#ofi-crete>,"miguel mellado"@en,"OFI Crete"@en
<http://bk.sport.owl#miguel-mellado>,<http://bk.sport.owl#ofi-crete>,"Miguel Mellado"@en,"OFI Crete"@en
<http://bk.sport.owl#thorgan-hazard>,<http://bk.sport.owl#borussia-monchengladbach>,"thorgan hazard"@en,"Borussia Monchengladbach"@en
<http://bk.sport.owl#thorgan-hazard>,<http://bk.sport.owl#borussia-monchengladbach>,"Thorgan Hazard"@en,"Borussia Monchengladbach"@en
<http://bk.sport.owl#thorgan-hazard>,<http://bk.sport.owl#borussia-monchengladbach>,"Hazard","Borussia Monchengladbach"@en
<http://bk.sport.owl#thorgan-hazard>,<http://bk.sport.owl#borussia-m\u00F6nchengladbach>,"thorgan hazard"@en,"Borussia M\u00F6nchengladbach"@en
<http://bk.sport.owl#thorgan-hazard>,<http://bk.sport.owl#borussia-m\u00F6nchengladbach>,"Thorgan Hazard"@en,"Borussia M\u00F6nchengladbach"@en
<http://bk.sport.owl#thorgan-hazard>,<http://bk.sport.owl#borussia-m\u00F6nchengladbach>,"Hazard","Borussia M\u00F6nchengladbach"@en
<http://bk.sport.owl#tomas-vlcek>,<http://bk.sport.owl#sk-slavia-prag>,"tomas vlcek"@en,"SK Slavia Prag"@en
<http://bk.sport.owl#hicham-faik>,<http://bk.sport.owl#sv-zulte-waregem>,"Hicham Faik"@en,"SV Zulte Waregem"@en
<http://bk.sport.owl#hicham-faik>,<http://bk.sport.owl#sv-zulte-waregem>,"hicham faik"@en,"SV Zulte Waregem"@en
<http://bk.sport.owl#marc-limbert>,<http://bk.sport.owl#bangor-city-football-club-fc>,"Marc Limbert"@en,"Bangor City Football Club"@en
<http://bk.sport.owl#marc-limbert>,<http://bk.sport.owl#bangor-city-football-club>,"Marc Limbert"@en,"Bangor City Football Club"@en
<http://bk.sport.owl#maciej-firlej>,<http://bk.sport.owl#korona-kielce>,"Maciej Firlej"@en,"Korona Kielce"@en
<http://bk.sport.owl#bryan-rochez>,<http://bk.sport.owl#cd-nacional-\u00A0>,"bryan rochez"@en,"CD Nacional \u00A0"@en
<http://bk.sport.owl#sargon-abraham>,<http://bk.sport.owl#ifk-g\u00F6teborg>,"Sargon Abraham"@en,"IFK G\u00F6teborg"@en
<http://bk.sport.owl#sargon-abraham>,<http://bk.sport.owl#ifk-g\u00F6teborg>,"sargon abraham"@en,"IFK G\u00F6teborg"@en
<http://bk.sport.owl#lisandro-l\u00F3pez>,<http://bk.sport.owl#genoa-cfc>,"Lisandro L\u00F3pez"@en,"Genoa CFC"@en
<http://bk.sport.owl#over-mandanda>,<http://bk.sport.owl#fc-girondins-bordeaux>,"over mandanda"@en,"FC Girondins Bordeaux"@en
<http://bk.sport.owl#over-mandanda>,<http://bk.sport.owl#fc-girondins-bordeaux>,"Over Mandanda"@en,"FC Girondins Bordeaux"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#crystal-palace>,"Mamadou Sakho"@en,"Crystal Palace"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#crystal-palace>,"mamadou sakho"@en,"Crystal Palace"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#crystal-palace>,"Sakho","Crystal Palace"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#liverpool-fc>,"Mamadou Sakho"@en,"Liverpool"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#liverpool-fc>,"mamadou sakho"@en,"Liverpool"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#liverpool-fc>,"Sakho","Liverpool"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#liverpool>,"Mamadou Sakho"@en,"Liverpool FC"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#liverpool>,"Mamadou Sakho"@en,"Liverpool"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#liverpool>,"mamadou sakho"@en,"Liverpool FC"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#liverpool>,"mamadou sakho"@en,"Liverpool"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#liverpool>,"Sakho","Liverpool FC"@en
<http://bk.sport.owl#mamadou-sakho>,<http://bk.sport.owl#liverpool>,"Sakho","Liverpool"@en
<http://bk.sport.owl#rayan-a\u00EFt-nouri>,<http://bk.sport.owl#sco-angers>,"Rayan A\u00EFt Nouri"@en,"SCO Angers"@en
<http://bk.sport.owl#daniel-morys>,<http://bk.sport.owl#wisla-krak\u00F3w>,"daniel morys"@en,"Wisla Krak\u00F3w"@en
<http://bk.sport.owl#tomas-fabian>,<http://bk.sport.owl#fk-mlad\u00E1-boleslav>,"tomas fabian"@en,"FK Mlad\u00E1 Boleslav"@en
<http://bk.sport.owl#tomas-fabian>,<http://bk.sport.owl#fk-mlad\u00E1-boleslav>,"Tomas Fabian"@en,"FK Mlad\u00E1 Boleslav"@en
<http://bk.sport.owl#duvan-zapata>,<http://bk.sport.owl#atalanta-bc>,"duvan zapata"@en,"Atalanta BC"@en
<http://bk.sport.owl#aleksandr-putsko>,<http://bk.sport.owl#fk-ufa>,"aleksandr putsko"@en,"FK Ufa"@en
<http://bk.sport.owl#aleksandr-putsko>,<http://bk.sport.owl#fk-ufa>,"Aleksandr Putsko"@en,"FK Ufa"@en
<http://bk.sport.owl#ismaily>,<http://bk.sport.owl#shakhtar-donetsk>,"ismaily"@en,"Shakhtar Donetsk"@en
<http://bk.sport.owl#ismaily>,<http://bk.sport.owl#shakhtar-donetsk>,"Ismaily"@en,"Shakhtar Donetsk"@en
<http://bk.sport.owl#raul-albiol>,<http://bk.sport.owl#ssc-napoli>,"Raul Albiol"@en,"SSC Napoli"@en
<http://bk.sport.owl#raul-albiol>,<http://bk.sport.owl#ssc-napoli>,"raul albiol"@en,"SSC Napoli"@en
<http://bk.sport.owl#daichi-kamada>,<http://bk.sport.owl#sint-truidense-vv>,"Daichi Kamada"@en,"Sint-Truidense VV"@en
<http://bk.sport.owl#daichi-kamada>,<http://bk.sport.owl#sint-truidense-vv>,"daichi kamada"@en,"Sint-Truidense VV"@en
<http://bk.sport.owl#filip-krovinovic>,<http://bk.sport.owl#sl-benfica>,"Filip Krovinovic"@en,"SL Benfica"@en
<http://bk.sport.owl#filip-krovinovic>,<http://bk.sport.owl#sl-benfica>,"filip krovinovic"@en,"SL Benfica"@en
<http://bk.sport.owl#mouhamad-n'diaye>,<http://bk.sport.owl#fk-dunav-ruse>,"mouhamad n'diaye"@en,"FK Dunav Ruse"@en
<http://bk.sport.owl#mouhamad-n'diaye>,<http://bk.sport.owl#fk-dunav-ruse>,"Mouhamad N'Diaye"@en,"FK Dunav Ruse"@en
<http://bk.sport.owl#martin-petrov>,<http://bk.sport.owl#bolton-wanderers-fc>,"Martin Petrov"@en,"Bolton Wanderers"@en
<http://bk.sport.owl#martin-petrov>,<http://bk.sport.owl#bolton-wanderers>,"Martin Petrov"@en,"Bolton Wanderers"@en
<http://bk.sport.owl#manolis-bolakis>,<http://bk.sport.owl#ofi-crete-\u00A0>,"Manolis Bolakis"@en,"OFI Crete \u00A0"@en
<http://bk.sport.owl#manolis-bolakis>,<http://bk.sport.owl#ofi-crete-\u00A0>,"manolis bolakis"@en,"OFI Crete \u00A0"@en
<http://bk.sport.owl#manolis-bolakis>,<http://bk.sport.owl#ofi-crete>,"Manolis Bolakis"@en,"OFI Crete"@en
<http://bk.sport.owl#manolis-bolakis>,<http://bk.sport.owl#ofi-crete>,"manolis bolakis"@en,"OFI Crete"@en
<http://bk.sport.owl#oliver-palmer>,<http://bk.sport.owl#mansfield-town-fc>,"Oliver Palmer"@en,"Mansfield Town"@en
<http://bk.sport.owl#oliver-palmer>,<http://bk.sport.owl#mansfield-town>,"Oliver Palmer"@en,"Mansfield Town"@en
<http://bk.sport.owl#mattia-montini>,<http://bk.sport.owl#dinamo-bukarest>,"Mattia Montini"@en,"Dinamo Bukarest"@en
<http://bk.sport.owl#mattia-montini>,<http://bk.sport.owl#dinamo-bukarest>,"mattia montini"@en,"Dinamo Bukarest"@en
<http://bk.sport.owl#sehrou-guirassy>,<http://bk.sport.owl#losc-lille>,"Guirassy","LOSC Lille"@en
<http://bk.sport.owl#mikkel-kalles\u00F6e>,<http://bk.sport.owl#randers>,"Mikkel Kalles\u00F6e"@en,"Randers FC"@en
<http://bk.sport.owl#aleksandar-todorovski>,<http://bk.sport.owl#fk-radnicki-nis>,"aleksandar todorovski"@en,"FK Radnicki Nis"@en
<http://bk.sport.owl#michal-danek>,<http://bk.sport.owl#1.fc-slov\u00E1cko>,"Michal Danek"@en,"1.FC Slov\u00E1cko"@en
<http://bk.sport.owl#michal-danek>,<http://bk.sport.owl#1.fc-slov\u00E1cko>,"michal danek"@en,"1.FC Slov\u00E1cko"@en
<http://bk.sport.owl#bruno-jordao>,<http://bk.sport.owl#ss-lazio>,"bruno jordao"@en,"SS Lazio"@en
<http://bk.sport.owl#jonathan-amon>,<http://bk.sport.owl#fc-nordsjaelland>,"jonathan amon"@en,"FC Nordsjaelland"@en
<http://bk.sport.owl#jonathan-amon>,<http://bk.sport.owl#fc-nordsjaelland>,"Jonathan Amon"@en,"FC Nordsjaelland"@en
<http://bk.sport.owl#laurentiu-popescu>,<http://bk.sport.owl#cs-universitatea-craiova>,"Laurentiu Popescu"@en,"CS Universitatea Craiova"@en
<http://bk.sport.owl#laurentiu-popescu>,<http://bk.sport.owl#cs-universitatea-craiova>,"laurentiu popescu"@en,"CS Universitatea Craiova"@en
<http://bk.sport.owl#dusan-basta>,<http://bk.sport.owl#ss-lazio>,"Dusan Basta"@en,"SS Lazio"@en
<http://bk.sport.owl#dusan-basta>,<http://bk.sport.owl#ss-lazio>,"dusan basta"@en,"SS Lazio"@en
<http://bk.sport.owl#dusan-basta>,<http://bk.sport.owl#ss-lazio>,"Basta","SS Lazio"@en
<http://bk.sport.owl#steven-lawless>,<http://bk.sport.owl#livingston-\u00A0>,"steven lawless"@en,"Livingston FC \u00A0"@en
<http://bk.sport.owl#steven-lawless>,<http://bk.sport.owl#livingston-\u00A0>,"Steven Lawless"@en,"Livingston FC \u00A0"@en
<http://bk.sport.owl#scott-mckenna>,<http://bk.sport.owl#aberdeen>,"Scott McKenna"@en,"Aberdeen FC"@en
<http://bk.sport.owl#scott-mckenna>,<http://bk.sport.owl#aberdeen>,"scott mckenna"@en,"Aberdeen FC"@en
<http://bk.sport.owl#guillermo-maripan>,<http://bk.sport.owl#deportivo-alav\u00E9s>,"guillermo maripan"@en,"Deportivo Alav\u00E9s"@en
<http://bk.sport.owl#paulo-oliveira>,<http://bk.sport.owl#sd-eibar>,"Paulo Oliveira"@en,"SD Eibar"@en
<http://bk.sport.owl#paulo-oliveira>,<http://bk.sport.owl#sd-eibar>,"paulo oliveira"@en,"SD Eibar"@en
<http://bk.sport.owl#gaol-kakuta>,<http://bk.sport.owl#sevilla>,"Kakuta","Sevilla FC"@en
<http://bk.sport.owl#gaol-kakuta>,<http://bk.sport.owl#sevilla>,"Kakuta","Sevilla"@en
<http://bk.sport.owl#kyriakos-kivrakidis>,<http://bk.sport.owl#atromitos-athen>,"Kyriakos Kivrakidis"@en,"Atromitos Athen"@en
<http://bk.sport.owl#kyriakos-kivrakidis>,<http://bk.sport.owl#atromitos-athen>,"kyriakos kivrakidis"@en,"Atromitos Athen"@en
<http://bk.sport.owl#boli-bolingoli>,<http://bk.sport.owl#rapid-vienna>,"boli bolingoli"@en,"Rapid Vienna"@en
<http://bk.sport.owl#\u00E1ngel-correa>,<http://bk.sport.owl#atl\u00E9tico-madrid>,"\u00C1ngel Correa"@en,"Atl\u00E9tico Madrid"@en
<http://bk.sport.owl#ashley-westwood>,<http://bk.sport.owl#aston-villa>,"ashley westwood"@en,"Aston Villa"@en
<http://bk.sport.owl#ashley-westwood>,<http://bk.sport.owl#aston-villa>,"Ashley Westwood"@en,"Aston Villa"@en
<http://bk.sport.owl#ashley-westwood>,<http://bk.sport.owl#aston-villa>,"Westwood","Aston Villa"@en
<http://bk.sport.owl#ashley-westwood>,<http://bk.sport.owl#burnley>,"ashley westwood"@en,"Burnley FC"@en
<http://bk.sport.owl#ashley-westwood>,<http://bk.sport.owl#burnley>,"ashley westwood"@en,"Burnley"@en
<http://bk.sport.owl#ashley-westwood>,<http://bk.sport.owl#burnley>,"Ashley Westwood"@en,"Burnley FC"@en
<http://bk.sport.owl#ashley-westwood>,<http://bk.sport.owl#burnley>,"Ashley Westwood"@en,"Burnley"@en
<http://bk.sport.owl#ashley-westwood>,<http://bk.sport.owl#burnley>,"Westwood","Burnley FC"@en
<http://bk.sport.owl#ashley-westwood>,<http://bk.sport.owl#burnley>,"Westwood","Burnley"@en
<http://bk.sport.owl#roberto-gagliardini>,<http://bk.sport.owl#inter-milan>,"roberto gagliardini"@en,"Inter Milan"@en
<http://bk.sport.owl#roberto-gagliardini>,<http://bk.sport.owl#inter-milan>,"Roberto Gagliardini"@en,"Inter Milan"@en
<http://bk.sport.owl#leroy-sano>,<http://bk.sport.owl#fc-schalke-04>,"Sano","FC Schalke 04"@en
<http://bk.sport.owl#oliver-ottesen>,<http://bk.sport.owl#fc-midtjylland>,"oliver ottesen"@en,"FC Midtjylland"@en
<http://bk.sport.owl#arijan-ademi>,<http://bk.sport.owl#gnk-dinamo-zagreb>,"Arijan Ademi"@en,"GNK Dinamo Zagreb"@en
<http://bk.sport.owl#arijan-ademi>,<http://bk.sport.owl#gnk-dinamo-zagreb>,"arijan ademi"@en,"GNK Dinamo Zagreb"@en
<http://bk.sport.owl#arijan-ademi>,<http://bk.sport.owl#gnk-dinamo-zagreb-fc>,"Arijan Ademi"@en,"GNK Dinamo Zagreb"@en
<http://bk.sport.owl#arijan-ademi>,<http://bk.sport.owl#gnk-dinamo-zagreb-fc>,"arijan ademi"@en,"GNK Dinamo Zagreb"@en
<http://bk.sport.owl#mustafa-amini>,<http://bk.sport.owl#aarhus-gf>,"mustafa amini"@en,"Aarhus GF"@en
<http://bk.sport.owl#takashi-usami>,<http://bk.sport.owl#fortuna-d\u00FCsseldorf-\u00A0>,"Takashi Usami"@en,"Fortuna D\u00FCsseldorf \u00A0"@en
<http://bk.sport.owl#takashi-usami>,<http://bk.sport.owl#fortuna-d\u00FCsseldorf-\u00A0>,"takashi usami"@en,"Fortuna D\u00FCsseldorf \u00A0"@en
<http://bk.sport.owl#takashi-usami>,<http://bk.sport.owl#fc-bayern-munich-fc>,"Takashi Usami"@en,"FC Bayern Munich"@en
<http://bk.sport.owl#takashi-usami>,<http://bk.sport.owl#fc-bayern-munich-fc>,"takashi usami"@en,"FC Bayern Munich"@en
<http://bk.sport.owl#takashi-usami>,<http://bk.sport.owl#fc-bayern-munich>,"Takashi Usami"@en,"FC Bayern Munich"@en
<http://bk.sport.owl#takashi-usami>,<http://bk.sport.owl#fc-bayern-munich>,"takashi usami"@en,"FC Bayern Munich"@en
<http://bk.sport.owl#dieguinho>,<http://bk.sport.owl#belenenses-sad>,"dieguinho"@en,"Belenenses SAD"@en
<http://bk.sport.owl#raul-jimenez>,<http://bk.sport.owl#wolverhampton-wanderers-\u00A0>,"raul jimenez"@en,"Wolverhampton Wanderers \u00A0"@en
<http://bk.sport.owl#marius-gersbeck>,<http://bk.sport.owl#hertha-bsc>,"marius gersbeck"@en,"Hertha BSC"@en
<http://bk.sport.owl#marius-gersbeck>,<http://bk.sport.owl#hertha-bsc>,"Gersbeck","Hertha BSC"@en
<http://bk.sport.owl#mat\u00EDas-kranevitter>,<http://bk.sport.owl#zenit-st.-petersburg>,"Mat\u00EDas Kranevitter"@en,"Zenit St. Petersburg"@en
<http://bk.sport.owl#uros-damnjanovic>,<http://bk.sport.owl#fk-radnik-surdulica>,"uros damnjanovic"@en,"FK Radnik Surdulica"@en
<http://bk.sport.owl#denys-dedechko>,<http://bk.sport.owl#fk-oleksandria>,"denys dedechko"@en,"FK Oleksandria"@en
<http://bk.sport.owl#sladjan-nikodijevic>,<http://bk.sport.owl#fk-radnicki-nis>,"sladjan nikodijevic"@en,"FK Radnicki Nis"@en
<http://bk.sport.owl#vaclav-kadlec>,<http://bk.sport.owl#ac-sparta-praha>,"Vaclav Kadlec"@en,"AC Sparta Praha"@en
<http://bk.sport.owl#vaclav-kadlec>,<http://bk.sport.owl#ac-sparta-praha>,"vaclav kadlec"@en,"AC Sparta Praha"@en
<http://bk.sport.owl#petr-jiracek>,<http://bk.sport.owl#fc-fastav-zlin>,"Petr Jiracek"@en,"FC FASTAV Zlin"@en
<http://bk.sport.owl#petr-jiracek>,<http://bk.sport.owl#fc-fastav-zlin>,"petr jiracek"@en,"FC FASTAV Zlin"@en
<http://bk.sport.owl#stjepan-babic>,<http://bk.sport.owl#concordia-chiajna>,"Stjepan Babic"@en,"Concordia Chiajna"@en
<http://bk.sport.owl#uros-cosic>,<http://bk.sport.owl#aek-athens>,"uros cosic"@en,"AEK Athens"@en
<http://bk.sport.owl#andrii-tsurikov>,<http://bk.sport.owl#fk-oleksandria>,"andrii tsurikov"@en,"FK Oleksandria"@en
<http://bk.sport.owl#lars-bender>,<http://bk.sport.owl#bayer-04-leverkusen>,"Lars Bender"@en,"Bayer 04 Leverkusen"@en
<http://bk.sport.owl#lars-bender>,<http://bk.sport.owl#bayer-04-leverkusen>,"lars bender"@en,"Bayer 04 Leverkusen"@en
<http://bk.sport.owl#lars-bender>,<http://bk.sport.owl#bayer-04-leverkusen>,"Bender","Bayer 04 Leverkusen"@en
<http://bk.sport.owl#marcos-acuna>,<http://bk.sport.owl#sporting-cp>,"marcos acuna"@en,"Sporting CP"@en
<http://bk.sport.owl#edgar-salli>,<http://bk.sport.owl#1.fc-nuremberg-\u00A0>,"edgar salli"@en,"1.FC Nuremberg \u00A0"@en
