a,la
<http://bk.sport.owl#vurnon-anita>,"Anita"
<http://bk.sport.owl#fatjon-andoni>,"Fatjon Andoni"@en
<http://bk.sport.owl#fatjon-andoni>,"fatjon andoni"@en
<http://bk.sport.owl#fabian-piasecki>,"Fabian Piasecki"@en
<http://bk.sport.owl#fabian-piasecki>,"fabian piasecki"@en
<http://bk.sport.owl#karim-bellarabi>,"Karim Bellarabi"@en
<http://bk.sport.owl#karim-bellarabi>,"karim bellarabi"@en
<http://bk.sport.owl#karim-bellarabi>,"Bellarabi"
<http://bk.sport.owl#alexandru-ionita>,"alexandru ionita"@en
<http://bk.sport.owl#alexandru-ionita>,"Alexandru Ionita"@en
<http://bk.sport.owl#azdren-llullaku>,"Azdren Llullaku"@en
<http://bk.sport.owl#azdren-llullaku>,"azdren llullaku"@en
<http://bk.sport.owl#huseyin-ekici>,"huseyin ekici"@en
<http://bk.sport.owl#olaf-nowak>,"olaf nowak"@en
<http://bk.sport.owl#olaf-nowak>,"Olaf Nowak"@en
<http://bk.sport.owl#diogo-viana>,"diogo viana"@en
<http://bk.sport.owl#diogo-viana>,"Diogo Viana"@en
<http://bk.sport.owl#darijan-bojanic>,"darijan bojanic"@en
<http://bk.sport.owl#wilmar-barrios>,"wilmar barrios"@en
<http://bk.sport.owl#sem-steijn>,"Sem Steijn"@en
<http://bk.sport.owl#sem-steijn>,"sem steijn"@en
<http://bk.sport.owl#stanislav-dostal>,"stanislav dostal"@en
<http://bk.sport.owl#stanislav-dostal>,"Stanislav Dostal"@en
<http://bk.sport.owl#andrei-marc>,"Andrei Marc"@en
<http://bk.sport.owl#andrei-marc>,"andrei marc"@en
<http://bk.sport.owl#george-oakley>,"george oakley"@en
<http://bk.sport.owl#david-bartek>,"david bartek"@en
<http://bk.sport.owl#david-bartek>,"David Bartek"@en
<http://bk.sport.owl#felix-klaus>,"Felix Klaus"@en
<http://bk.sport.owl#felix-klaus>,"felix klaus"@en
<http://bk.sport.owl#felix-klaus>,"Klaus"
<http://bk.sport.owl#samuel-owusu>,"Samuel Owusu"@en
<http://bk.sport.owl#samuel-owusu>,"samuel owusu"@en
<http://bk.sport.owl#emrah-bassan>,"Emrah Bassan"@en
<http://bk.sport.owl#emrah-bassan>,"emrah bassan"@en
<http://bk.sport.owl#kosmas-tsilianidis>,"kosmas tsilianidis"@en
<http://bk.sport.owl#kosmas-tsilianidis>,"Kosmas Tsilianidis"@en
<http://bk.sport.owl#bartosz-salamon>,"bartosz salamon"@en
