a,la
<http://bk.sport.owl#vasil-levski-national-football-stadium>,"Vasil Levski National Stadium"@en
<http://bk.sport.owl#stadion-letn\u00E1-stadium>,"Stadion Letn\u00E1"@en
<http://bk.sport.owl#stade-michel-d'ornano-stadium>,"Stade Michel-d'Ornano"@en
<http://bk.sport.owl#sammy-ofer-football-stadium>,"Sammy Ofer Stadium"@en
<http://bk.sport.owl#schwarzwald-stadion-stadium>,"Schwarzwald-Stadion"@en
<http://bk.sport.owl#aldo-drosina-stadium>,"Aldo Drosina"@en
<http://bk.sport.owl#ibrox-football-stadium>,"Ibrox Stadium"@en
<http://bk.sport.owl#estadio-municipal-de-braga-football-stadium>,"Est\u00E1dio Municipal de Braga"@en
<http://bk.sport.owl#stade-de-la-mosson-football-stadium>,"Stade de la Mosson"@en
<http://bk.sport.owl#newport-casino-tennis-stadium>,"Newport Casino"@en
<http://bk.sport.owl#tynecastle-park-stadium>,"Tynecastle Park"@en
<http://bk.sport.owl#nou-mestalla-football-stadium>,"Nou Mestalla"@en
<http://bk.sport.owl#stadio-luigi-ferraris-football-stadium>,"Stadio Luigi Ferraris"@en
<http://bk.sport.owl#rewirpowerstadion-football-stadium>,"Rewirpowerstadion"@en
<http://bk.sport.owl#municipal-de-montilivi-stadium>,"Municipal de Montilivi"@en
<http://bk.sport.owl#etihad-football-stadium>,"Etihad Stadium"@en
<http://bk.sport.owl#don-valley-football-stadium>,"Don Valley Stadium"@en
<http://bk.sport.owl#munich-olympiastadion-football-stadium>,"Munich Olympiastadion"@en
<http://bk.sport.owl#friends-arena-football-stadium>,"Friends Arena"@en
<http://bk.sport.owl#lindner-family-tennis-center-grandstand-tennis-stadium>,"Lindner Family Tennis Center (Grandstand)"@en
<http://bk.sport.owl#metalist-football-stadium>,"Metalist Stadium"@en
<http://bk.sport.owl#athens-olympic-football-stadium>,"Athens Olympic Stadium"@en
<http://bk.sport.owl#tunavallen-stadium>,"Tunavallen"@en
<http://bk.sport.owl#stadium-of-light-football-stadium>,"Stadium of Light"@en
<http://bk.sport.owl#petersburg-sports-and-concert-complex-tennis-stadium>,"Petersburg Sports and Concert Complex"@en
<http://bk.sport.owl#freethielstadion-stadium>,"Freethielstadion"@en
<http://bk.sport.owl#santiago-bernab\u00E9u-stadium>,"Santiago Bernab\u00E9u"@en
<http://bk.sport.owl#ernest-pohl-football-stadium>,"Ernest Pohl Stadium"@en
<http://bk.sport.owl#ael-arena-stadium>,"AEL FC Arena"@en
<http://bk.sport.owl#celtic-park-stadium>,"Celtic Park"@en
<http://bk.sport.owl#ernst-happel-stadion-football-stadium>,"Ernst Happel Stadion"@en
<http://bk.sport.owl#estadio-do-dragao-football-stadium>,"Est\u00E1dio do Drag\u00E3o"@en
<http://bk.sport.owl#new-ankara-football-stadium>,"New Ankara Stadium"@en
<http://bk.sport.owl#stadion-krasnodar-stadium>,"Stadion Krasnodar"@en
<http://bk.sport.owl#ion-oblemenco-new-stadium>,"Ion Oblemenco - New"@en
<http://bk.sport.owl#tivoli-stadion-tirol-stadium>,"Tivoli Stadion Tirol"@en
<http://bk.sport.owl#wimbledon-centre-court-tennis-stadium>,"Wimbledon Centre Court"@en
<http://bk.sport.owl#hrazdan-football-stadium>,"Hrazdan Stadium"@en
<http://bk.sport.owl#bramall-lane-football-stadium>,"Bramall Lane"@en
<http://bk.sport.owl#gaelic-grounds-football-stadium>,"Gaelic Grounds"@en
<http://bk.sport.owl#cars-jeans-stadion-stadium>,"Cars Jeans Stadion"@en
<http://bk.sport.owl#bayarena-football-stadium>,"BayArena"@en
<http://bk.sport.owl#cebeci-inonu-football-stadium>,"Cebeci \u0130n\u00F6n\u00FC Stadium"@en
<http://bk.sport.owl#marin-anastasovici-stadium>,"Marin Anastasovici"@en
<http://bk.sport.owl#asim-ferhatovic-hase-football-stadium>,"Asim Ferhatovi\u0107 Hase Stadium"@en
<http://bk.sport.owl#stadio-del-conero-football-stadium>,"Stadio del Conero"@en
<http://bk.sport.owl#doosan-ar\u00E9na-stadium>,"Doosan Ar\u00E9na"@en
<http://bk.sport.owl#br\u00F8ndby-stadion-stadium>,"Br\u00F8ndby Stadion"@en
<http://bk.sport.owl#stadion-fk-partizan-football-stadium>,"Stadion FK Partizan"@en
<http://bk.sport.owl#ennio-tardini-stadium>,"Ennio Tardini"@en
<http://bk.sport.owl#racquet-club-of-memphis-tennis-stadium>,"Racquet Club of Memphis"@en
<http://bk.sport.owl#gradski-vrt-stadium>,"Gradski vrt"@en
<http://bk.sport.owl#william-h-g-fitzgerald-tennis-center-tennis-stadium>,"William H.G. FitzGerald Tennis Center"@en
<http://bk.sport.owl#craven-cottage-football-stadium>,"Craven Cottage"@en
<http://bk.sport.owl#stadio-nereo-rocco-football-stadium>,"Stadio Nereo Rocco"@en
<http://bk.sport.owl#metallurg-football-stadium>,"Metallurg Stadium"@en
<http://bk.sport.owl#stade-geoffroy-guichard-football-stadium>,"Stade Geoffroy-Guichard"@en
<http://bk.sport.owl#sydbank-park-stadium>,"Sydbank Park"@en
<http://bk.sport.owl#stadio-zosimades-stadium>,"Stadio Zosimades"@en
<http://bk.sport.owl#werzer-arena-tennis-stadium>,"Werzer Arena"@en
<http://bk.sport.owl#campo-de-f\u00FAtbol-de-vallecas-stadium>,"Campo de F\u00FAtbol de Vallecas"@en
<http://bk.sport.owl#stadion-miejski-im.-henryka-reymana-stadium>,"Stadion Miejski im. Henryka Reymana"@en
<http://bk.sport.owl#yeni-malatya-stadyumu-stadium>,"Yeni Malatya Stadyumu"@en
<http://bk.sport.owl#vitality-stadium-stadium>,"Vitality Stadium"@en
<http://bk.sport.owl#kungliga-tennishallen-tennis-stadium>,"Kungliga Tennishallen"@en
<http://bk.sport.owl#hisense-arena-tennis-stadium>,"Hisense Arena"@en
<http://bk.sport.owl#anoeta-stadium>,"Anoeta"@en
<http://bk.sport.owl#ltat-national-tennis-development-centre-tennis-stadium>,"LTAT National Tennis Development Centre"@en
<http://bk.sport.owl#thomond-park-football-stadium>,"Thomond Park"@en
<http://bk.sport.owl#tourbillon-stadium>,"Tourbillon"@en
<http://bk.sport.owl#sanl\u0131urfa-gap-football-stadium>,"\u015Eanl\u0131urfa GAP Stadium"@en
<http://bk.sport.owl#el-molinon-football-stadium>,"El Molin\u00F3n"@en
<http://bk.sport.owl#stade-des-costi\u00E8res-stadium>,"Stade des Costi\u00E8res"@en
<http://bk.sport.owl#connecticut-tennis-center-tennis-stadium>,"Connecticut Tennis Center"@en
<http://bk.sport.owl#stade-geoffroy-guichard-stadium>,"Stade Geoffroy-Guichard"@en
<http://bk.sport.owl#van-donge-de-roo-stadion-woudestein-stadium>,"Van Donge & De Roo Stadion - Woudestein"@en
<http://bk.sport.owl#emirates-stadium-stadium>,"Emirates Stadium"@en
<http://bk.sport.owl#stade-oceane-football-stadium>,"Stade Oc\u00E9ane"@en
<http://bk.sport.owl#cashpoint-arena-stadium>,"CASHPOINT-Arena"@en
<http://bk.sport.owl#queen-s-club-centre-court-tennis-stadium>,"Queen\u2019s Club \u2013 Centre Court"@en
<http://bk.sport.owl#tony-macaroni-arena-stadium>,"Tony Macaroni Arena"@en
<http://bk.sport.owl#stadion-ticha-stadium>,"Stadion Ticha"@en
<http://bk.sport.owl#municipal-de-butarque-stadium>,"Municipal de Butarque"@en
<http://bk.sport.owl#estadi-olimpic-lluis-companys-football-stadium>,"Estadi Ol\u00EDmpic Llu\u00EDs Companys"@en
<http://bk.sport.owl#family-circle-tennis-center-tennis-stadium>,"Family Circle Tennis Center"@en
<http://bk.sport.owl#stade-de-la-beaujoire-football-stadium>,"Stade de la Beaujoire"@en
<http://bk.sport.owl#selhurst-park-football-stadium>,"Selhurst Park"@en
<http://bk.sport.owl#est\u00E1dio-marcolino-de-castro-stadium>,"Est\u00E1dio Marcolino de Castro"@en
<http://bk.sport.owl#otkrytie-arena-stadium>,"Otkrytie Arena"@en
<http://bk.sport.owl#britannia-football-stadium>,"Britannia Stadium"@en
<http://bk.sport.owl#dr.-constantin-r?dulescu-stadium>,"Dr. Constantin R?dulescu"@en
<http://bk.sport.owl#profertil-arena-hartberg-stadium>,"Profertil Arena Hartberg"@en
<http://bk.sport.owl#est\u00E1dio-dos-arcos-stadium>,"Est\u00E1dio dos Arcos"@en
<http://bk.sport.owl#mch-arena-stadium>,"MCH Arena"@en
<http://bk.sport.owl#dinamo-stadium>,"Dinamo"@en
<http://bk.sport.owl#kadir-has-football-stadium>,"Kadir Has Stadium"@en
<http://bk.sport.owl#akhmat-arena-stadium>,"Akhmat-Arena"@en
<http://bk.sport.owl#chornomorets-football-stadium>,"Chornomorets Stadium"@en
<http://bk.sport.owl#moon-court-tennis-stadium>,"Moon Court"@en
<http://bk.sport.owl#slavutych-arena-stadium>,"Slavutych Arena"@en
<http://bk.sport.owl#stadion-mladost-stadium>,"Stadion Mladost"@en
<http://bk.sport.owl#westside-tennis-club-tennis-stadium>,"Westside Tennis Club"@en
<http://bk.sport.owl#stadion-miejski-im.-floriana-krygiera-stadium>,"Stadion Miejski im. Floriana Krygiera"@en
<http://bk.sport.owl#stadion-im.-kazimierza-g\u00F3rskiego-stadium>,"Stadion im. Kazimierza G\u00F3rskiego"@en
<http://bk.sport.owl#wexford-park-football-stadium>,"Wexford Park"@en
<http://bk.sport.owl#vejle-stadion-stadium>,"Vejle Stadion"@en
<http://bk.sport.owl#baku-olympic-football-stadium>,"Baku Olympic Stadium"@en
<http://bk.sport.owl#kranjceviceva-stadium>,"Kranjceviceva"@en
<http://bk.sport.owl#lindner-family-tennis-center-court-3-tennis-stadium>,"Lindner Family Tennis Center (Court #3)"@en
<http://bk.sport.owl#est\u00E1dio-municipal-eng.\u00BA-manuel-branco-teixeira-stadium>,"Est\u00E1dio Municipal Eng.\u00BA Manuel Branco Teixeira"@en
<http://bk.sport.owl#giuseppe-meazza-stadium>,"Giuseppe Meazza"@en
<http://bk.sport.owl#stadion-miejski-stadium>,"Stadion Miejski"@en
<http://bk.sport.owl#nature-energy-park-stadium>,"Nature Energy Park"@en
<http://bk.sport.owl#lord-s-cricket-ground-football-stadium>,"Lord's Cricket Ground"@en
<http://bk.sport.owl#stadion-im.-yuriya-gagarina-stadium>,"Stadion im. Yuriya Gagarina"@en
<http://bk.sport.owl#estadio-do-restelo-football-stadium>,"Est\u00E1dio do Restelo"@en
<http://bk.sport.owl#new-antalya-football-stadium>,"New Antalya Stadium"@en
<http://bk.sport.owl#hampden-park-football-stadium>,"Hampden Park"@en
<http://bk.sport.owl#walkers-football-stadium>,"Walkers Stadium"@en
<http://bk.sport.owl#stadion-karadjordje-stadium>,"Stadion Karadjordje"@en
<http://bk.sport.owl#frankenstadion-football-stadium>,"Frankenstadion"@en
<http://bk.sport.owl#casement-park-football-stadium>,"Casement Park"@en
<http://bk.sport.owl#warszawianka-tennis-centre-tennis-stadium>,"Warszawianka Tennis Centre"@en
<http://bk.sport.owl#bah\u00E7e?ehir-okullar?-stadyumu-stadium>,"Bah\u00E7e?ehir Okullar? Stadyumu"@en
<http://bk.sport.owl#ciutat-de-val\u00E8ncia-stadium>,"Ciutat de Val\u00E8ncia"@en
<http://bk.sport.owl#esprit-arena-football-stadium>,"Esprit Arena"@en
<http://bk.sport.owl#est\u00E1dio-do-bonfim-stadium>,"Est\u00E1dio do Bonfim"@en
<http://bk.sport.owl#ullevi-football-stadium>,"Ullevi"@en
<http://bk.sport.owl#stade-uniprix-tennis-stadium>,"Stade Uniprix"@en
<http://bk.sport.owl#abe-lenstra-stadion-stadium>,"Abe Lenstra Stadion"@en
<http://bk.sport.owl#ukraina-stadium>,"Ukraina"@en
<http://bk.sport.owl#elland-road-football-stadium>,"Elland Road"@en
<http://bk.sport.owl#ludogorets-arena-stadium>,"Ludogorets Arena"@en
<http://bk.sport.owl#nueva-condomina-football-stadium>,"Nueva Condomina"@en
<http://bk.sport.owl#gradski-stadion-zemun-stadium>,"Gradski stadion Zemun"@en
<http://bk.sport.owl#melbourne-multi-purpose-venue-tennis-stadium>,"Melbourne Multi Purpose Venue"@en
<http://bk.sport.owl#fairmont-acapulco-princess-tennis-stadium>,"Fairmont Acapulco Princess"@en
<http://bk.sport.owl#stadion-miejski-football-stadium>,"Stadion Miejski"@en
<http://bk.sport.owl#reebok-football-stadium>,"Reebok Stadium"@en
<http://bk.sport.owl#stadio-pino-zaccheria-football-stadium>,"Stadio Pino Zaccheria"@en
<http://bk.sport.owl#rudolf-harbig-stadion-football-stadium>,"Rudolf-Harbig-Stadion"@en
<http://bk.sport.owl#pittodrie-stadium-stadium>,"Pittodrie Stadium"@en
<http://bk.sport.owl#tsentralnyi-profsoyuz-stadion-football-stadium>,"Tsentralnyi Profsoyuz Stadion"@en
<http://bk.sport.owl#stade-de-france-football-stadium>,"Stade de France"@en
<http://bk.sport.owl#stade-de-la-route-de-lorient-football-stadium>,"Stade de la Route de Lorient"@en
<http://bk.sport.owl#stayen-stadium>,"Stayen"@en
<http://bk.sport.owl#osk-metalist-stadium>,"OSK Metalist"@en
<http://bk.sport.owl#stadium-municipal-football-stadium>,"Stadium Municipal"@en
<http://bk.sport.owl#stadio-neas-smyrnis-stadium>,"Stadio Neas Smyrnis"@en
<http://bk.sport.owl#rosenaustadion-football-stadium>,"Rosenaustadion"@en
<http://bk.sport.owl#stadion-gosir-stadium>,"Stadion GOSiR"@en
<http://bk.sport.owl#am-rothenbaum-tennis-stadium>,"Am Rothenbaum"@en
<http://bk.sport.owl#st?elnice-stadium>,"St?elnice"@en
<http://bk.sport.owl#stadion-im.-vorskla-oleksiya-butovsky-stadium>,"Stadion im. Vorskla Oleksiya Butovsky"@en
<http://bk.sport.owl#kehrweg-stadion-stadium>,"Kehrweg-Stadion"@en
<http://bk.sport.owl#old-trafford-stadium>,"Old Trafford"@en
<http://bk.sport.owl#olympiastadion-berlin-stadium>,"Olympiastadion Berlin"@en
<http://bk.sport.owl#veb-arena-stadium>,"VEB Arena"@en
<http://bk.sport.owl#la-cer\u00E1mica-stadium>,"La Cer\u00E1mica"@en
<http://bk.sport.owl#stade-de-la-meinau-stadium>,"Stade de la Meinau"@en
<http://bk.sport.owl#stadio-san-filippo-football-stadium>,"Stadio San Filippo"@en
<http://bk.sport.owl#croke-park-football-stadium>,"Croke Park"@en
<http://bk.sport.owl#stade-du-hainaut-football-stadium>,"Stade du Hainaut"@en
<http://bk.sport.owl#estadio-santiago-bernabeu-football-stadium>,"Estadio Santiago Bernab\u00E9u"@en
<http://bk.sport.owl#estadio-2-arantxa-sanchez-vicario-tennis-stadium>,"Estadio 2: Arantxa S\u00E1nchez Vicario"@en
<http://bk.sport.owl#stadio-friuli-football-stadium>,"Stadio Friuli"@en
<http://bk.sport.owl#tele2-arena-stadium>,"Tele2 Arena"@en
<http://bk.sport.owl#hitachi-capital-mobility-stadion-stadium>,"Hitachi Capital Mobility Stadion"@en
<http://bk.sport.owl#est\u00E1dio-jos\u00E9-alvalade-xxi-stadium>,"Est\u00E1dio Jos\u00E9 Alvalade XXI"@en
<http://bk.sport.owl#new-varna-football-stadium>,"New Varna Stadium"@en
<http://bk.sport.owl#porsche-arena-tennis-stadium>,"Porsche Arena"@en
<http://bk.sport.owl#molineux-football-stadium>,"Molineux"@en
<http://bk.sport.owl#molineux-football-stadium>,"Molineux Stadium"@en
<http://bk.sport.owl#new-sivas-football-stadium>,"New Sivas Stadium"@en
<http://bk.sport.owl#konya-b\u00FCy\u00FCk?ehir-belediye-stadyumu-stadium>,"Konya B\u00FCy\u00FCk?ehir Belediye Stadyumu"@en
<http://bk.sport.owl#arena-nationala-football-stadium>,"Arena Na\u0163ional\u0103"@en
<http://bk.sport.owl#san-paolo-stadium>,"San Paolo"@en
<http://bk.sport.owl#stade-municipal-saint-symphorien-football-stadium>,"Stade Municipal Saint-Symphorien"@en
<http://bk.sport.owl#san-siro-football-stadium>,"San Siro"@en
<http://bk.sport.owl#metalurh-football-stadium>,"Metalurh Stadium"@en
<http://bk.sport.owl#medical-park-stadyumu-stadium>,"Medical Park Stadyumu"@en
<http://bk.sport.owl#la-romareda-football-stadium>,"La Romareda"@en
<http://bk.sport.owl#yeni-4-eyl\u00FCl-stad?-stadium>,"Yeni 4 Eyl\u00FCl Stad?"@en
<http://bk.sport.owl#dubai-tennis-tennis-stadium>,"Dubai Tennis Stadium"@en
<http://bk.sport.owl#bjk-i\u0307nonu-football-stadium>,"BJK \u0130n\u00F6n\u00FC Stadium"@en
<http://bk.sport.owl#dkb-arena-football-stadium>,"DKB-Arena"@en
<http://bk.sport.owl#stadion-?air-stadium>,"Stadion ?air"@en
<http://bk.sport.owl#camp-nou-stadium>,"Camp Nou"@en
<http://bk.sport.owl#rasunda-football-stadium>,"R\u00E5sunda Stadium"@en
<http://bk.sport.owl#anfield-football-stadium>,"Anfield"@en
<http://bk.sport.owl#kilmac-stadium-at-dens-park-stadium>,"Kilmac Stadium at Dens Park"@en
<http://bk.sport.owl#imtech-arena-football-stadium>,"Imtech Arena"@en
<http://bk.sport.owl#stade-maurice-dufrasne-football-stadium>,"Stade Maurice Dufrasne"@en
<http://bk.sport.owl#ram\u00F3n-s\u00E1nchez-pizjuan-stadium>,"Ram\u00F3n S\u00E1nchez Pizjuan"@en
<http://bk.sport.owl#tottenham-hotspur-stadium-stadium>,"Tottenham Hotspur Stadium"@en
<http://bk.sport.owl#zentralstadion-krasnoyarsk-stadium>,"Zentralstadion Krasnoyarsk"@en
<http://bk.sport.owl#stadio-flaminio-football-stadium>,"Stadio Flaminio"@en
<http://bk.sport.owl#fir-park-stadium>,"Fir Park"@en
<http://bk.sport.owl#valley-parade-football-stadium>,"Valley Parade"@en
<http://bk.sport.owl#o2-arena-tennis-stadium>,"O2 Arena"@en
<http://bk.sport.owl#est\u00E1dio-dos-barreiros-stadium>,"Est\u00E1dio dos Barreiros"@en
<http://bk.sport.owl#spartak-football-stadium>,"Spartak Stadium"@en
<http://bk.sport.owl#rugby-park-stadium>,"Rugby Park"@en
<http://bk.sport.owl#stade-de-suisse-football-stadium>,"Stade de Suisse"@en
<http://bk.sport.owl#hdi-arena-stadium>,"HDI-Arena"@en
<http://bk.sport.owl#new-malatya-football-stadium>,"New Malatya Stadium"@en
<http://bk.sport.owl#tofiq-bahramov-football-stadium>,"Tofiq Bahramov Stadium"@en
<http://bk.sport.owl#dw-football-stadium>,"DW Stadium"@en
<http://bk.sport.owl#tgw-arena-stadium>,"TGW Arena"@en
<http://bk.sport.owl#estadio-olimpico-de-sevilla-football-stadium>,"Estadio Ol\u00EDmpico de Sevilla"@en
<http://bk.sport.owl#helsinki-olympic-football-stadium>,"Helsinki Olympic Stadium"@en
<http://bk.sport.owl#csk-football-stadium>,"CSK Stadium"@en
<http://bk.sport.owl#sukru-saracoglu-football-stadium>,"\u015E\u00FCkr\u00FC Saraco\u011Flu Stadium"@en
<http://bk.sport.owl#johan-cruijff-arena-stadium>,"Johan Cruijff ArenA"@en
<http://bk.sport.owl#cluj-arena-football-stadium>,"Cluj Arena"@en
<http://bk.sport.owl#gradski-stadion-ivan-kusek-apas-stadium>,"Gradski Stadion Ivan Kusek Apas"@en
<http://bk.sport.owl#georgi-asparuhov-stadium-stadium>,"Georgi Asparuhov Stadium"@en
<http://bk.sport.owl#olympia-stadium>,"Olympia"@en
<http://bk.sport.owl#estoril-court-central-tennis-stadium>,"Estoril Court Central"@en
<http://bk.sport.owl#stadio-oreste-granillo-football-stadium>,"Stadio Oreste Granillo"@en
<http://bk.sport.owl#rexall-centre-tennis-stadium>,"Rexall Centre"@en
<http://bk.sport.owl#steffi-graf-stadion-tennis-stadium>,"Steffi-Graf-Stadion"@en
<http://bk.sport.owl#celtic-park-football-stadium>,"Celtic Park"@en
<http://bk.sport.owl#new-eskisehir-football-stadium>,"New Eski\u015Fehir Stadium"@en
<http://bk.sport.owl#abe-lenstra-stadion-football-stadium>,"Abe Lenstra Stadion"@en
<http://bk.sport.owl#old-trafford-football-stadium>,"Old Trafford"@en
<http://bk.sport.owl#kc-football-stadium>,"KC Stadium"@en
<http://bk.sport.owl#olympiako-stadio-athinon-stadium>,"Olympiako Stadio Athinon"@en
<http://bk.sport.owl#stade-des-lumieres-football-stadium>,"Stade des Lumi\u00E8res"@en
<http://bk.sport.owl#nord-energi-arena-stadium>,"Nord Energi Arena"@en
<http://bk.sport.owl#bursa-b\u00FCy\u00FCk?ehir-belediye-stadyumu-stadium>,"Bursa B\u00FCy\u00FCk?ehir Belediye Stadyumu"@en
<http://bk.sport.owl#red-bull-arena-salzburg-stadium>,"Red Bull Arena Salzburg"@en
<http://bk.sport.owl#stadion-zag??bia-lubin-stadium>,"Stadion Zag??bia Lubin"@en
<http://bk.sport.owl#stadion-widzewa-football-stadium>,"Stadion Widzewa"@en
<http://bk.sport.owl#john-smith's-stadium-stadium>,"John Smith's Stadium"@en
<http://bk.sport.owl#kybunpark-stadium>,"kybunpark"@en
<http://bk.sport.owl#goodison-park-stadium>,"Goodison Park"@en
<http://bk.sport.owl#dinamo-arena-football-stadium>,"Dinamo Arena"@en
<http://bk.sport.owl#stadio-marcantonio-bentegodi-football-stadium>,"Stadio Marcantonio Bentegodi"@en
<http://bk.sport.owl#national-arena-stadium>,"National Arena"@en
<http://bk.sport.owl#stade-de-la-beaujoire-stadium>,"Stade de la Beaujoire"@en
<http://bk.sport.owl#municipal-sibiu-stadium>,"Municipal Sibiu"@en
<http://bk.sport.owl#astana-arena-football-stadium>,"Astana Arena"@en
<http://bk.sport.owl#municipal-stadium>,"Municipal"@en
<http://bk.sport.owl#swedbank-stadion-stadium>,"Swedbank Stadion"@en
<http://bk.sport.owl#dan-paltinisanu-football-stadium>,"Dan P\u0103ltini\u015Fanu Stadium"@en
<http://bk.sport.owl#stadio-arechi-football-stadium>,"Stadio Arechi"@en
<http://bk.sport.owl#partizan-stadion-stadium>,"Partizan Stadion"@en
<http://bk.sport.owl#cepheus-park-randers-stadium>,"Cepheus Park Randers"@en
<http://bk.sport.owl#caja-magica-tennis-stadium>,"Caja M\u00E1gica"@en
<http://bk.sport.owl#stadion-albert-florian-football-stadium>,"Stadion Albert Fl\u00F3ri\u00E1n"@en
<http://bk.sport.owl#mercedes-benz-arena-football-stadium>,"Mercedes-Benz Arena"@en
<http://bk.sport.owl#pge-arena-gdansk-football-stadium>,"PGE Arena Gda\u0144sk"@en
<http://bk.sport.owl#batumi-football-stadium>,"Batumi Stadium"@en
<http://bk.sport.owl#stadio-georgios-karaiskakis-stadium>,"Stadio Georgios Karaiskakis"@en
<http://bk.sport.owl#schauinsland-reisen-arena-football-stadium>,"Schauinsland-Reisen-Arena"@en
<http://bk.sport.owl#rcde-stadium-stadium>,"RCDE Stadium"@en
<http://bk.sport.owl#tokyo-metropolitan-gymnasium-tennis-stadium>,"Tokyo Metropolitan Gymnasium"@en
<http://bk.sport.owl#australia-show-court-3-tennis-stadium>,"Australia Show Court 3"@en
<http://bk.sport.owl#cusack-park-football-stadium>,"Cusack Park"@en
<http://bk.sport.owl#bornova-stad?-stadium>,"Bornova Stad?"@en
<http://bk.sport.owl#guldensporenstadion-stadium>,"Guldensporenstadion"@en
<http://bk.sport.owl#stadio-renato-dall-ara-football-stadium>,"Stadio Renato Dall'Ara"@en
<http://bk.sport.owl#st-andrews-football-stadium>,"St Andrews"@en
<http://bk.sport.owl#est\u00E1dio-nacional-do-jamor-stadium>,"Est\u00E1dio Nacional do Jamor"@en
<http://bk.sport.owl#commerzbank-arena-football-stadium>,"Commerzbank-Arena"@en
<http://bk.sport.owl#stadion-u-nisy-stadium>,"Stadion U Nisy"@en
<http://bk.sport.owl#rsc-olimpiyskiy-football-stadium>,"RSC Olimpiyskiy"@en
<http://bk.sport.owl#paolo-mazza-stadium>,"Paolo Mazza"@en
<http://bk.sport.owl#indian-wells-tennis-garden-tennis-stadium>,"Indian Wells Tennis Garden"@en
<http://bk.sport.owl#stade-gerland-football-stadium>,"Stade Gerland"@en
<http://bk.sport.owl#gipedo-rizoupolis-georgios-kamaras-stadium>,"Gipedo Rizoupolis \"Georgios Kamaras\""@en
<http://bk.sport.owl#lefkosa-ataturk-stad\u0131-football-stadium>,"Lefko\u015Fa Atat\u00FCrk Stad\u0131"@en
<http://bk.sport.owl#stadion-beroe-stadium>,"Stadion Beroe"@en
<http://bk.sport.owl#vicarage-road-stadium>,"Vicarage Road"@en
<http://bk.sport.owl#karaiskakis-football-stadium>,"Karaiskakis Stadium"@en
<http://bk.sport.owl#grotenburg-stadion-football-stadium>,"Grotenburg Stadion"@en
<http://bk.sport.owl#gradski-stadion-surdulica-stadium>,"Gradski Stadion Surdulica"@en
<http://bk.sport.owl#zentralstadion-ekaterinburg-stadium>,"Zentralstadion Ekaterinburg"@en
<http://bk.sport.owl#lithuania-national-football-stadium>,"Lithuania National Stadium"@en
<http://bk.sport.owl#red-bull-arena-stadium>,"Red Bull Arena"@en
<http://bk.sport.owl#olympiako-stadio-athinas-spyros-louis-stadium>,"Olympiako Stadio Athinas Spyros Louis"@en
<http://bk.sport.owl#stadion-galgenwaard-stadium>,"Stadion Galgenwaard"@en
<http://bk.sport.owl#wwk-arena-stadium>,"WWK ARENA"@en
