a,la
<http://bk.sport.owl#gazprom-arena-stadium>,"Gazprom Arena"@en
<http://bk.sport.owl#impact-arena-tennis-stadium>,"IMPACT Arena"@en
<http://bk.sport.owl#arena-khimki-stadium>,"Arena Khimki"@en
<http://bk.sport.owl#stade-auguste-delaune-stadium>,"Stade Auguste-Delaune"@en
<http://bk.sport.owl#kazan-arena-stadium>,"Kazan Arena"@en
<http://bk.sport.owl#qizhong-forest-sports-city-arena-tennis-stadium>,"Qizhong Forest Sports City Arena"@en
<http://bk.sport.owl#regenboogstadion-stadium>,"Regenboogstadion"@en
<http://bk.sport.owl#stadion-miejski-im.-marsza?ka-j\u00F3zefa-pi?sudskiego-stadium>,"Stadion Miejski im. Marsza?ka J\u00F3zefa Pi?sudskiego"@en
<http://bk.sport.owl#allianz-stadium-stadium>,"Allianz Stadium"@en
<http://bk.sport.owl#de-grolsch-veste-football-stadium>,"De Grolsch Veste"@en
<http://bk.sport.owl#pairc-tailteann-football-stadium>,"P\u00E1irc Tailteann"@en
<http://bk.sport.owl#wembley-stadium-stadium>,"Wembley Stadium"@en
<http://bk.sport.owl#est\u00E1dio-da-madeira-stadium>,"Est\u00E1dio da Madeira"@en
<http://bk.sport.owl#darlington-arena-football-stadium>,"Darlington Arena"@en
<http://bk.sport.owl#estadio-3-tennis-stadium>,"Estadio 3"@en
<http://bk.sport.owl#bjk-\u0130nonu-football-stadium>,"BJK \u0130n\u00F6n\u00FC Stadium"@en
<http://bk.sport.owl#toumba-football-stadium>,"Toumba Stadium"@en
<http://bk.sport.owl#benito-stirpe-stadium>,"Benito Stirpe"@en
<http://bk.sport.owl#timsah-arena-football-stadium>,"Timsah Arena"@en
<http://bk.sport.owl#stadion-narodowy-football-stadium>,"Stadion Narodowy"@en
<http://bk.sport.owl#stadio-mario-rigamonti-football-stadium>,"Stadio Mario Rigamonti"@en
<http://bk.sport.owl#arena-zabrze-stadium>,"Arena Zabrze"@en
<http://bk.sport.owl#tennis-club-weissenhof-tennis-stadium>,"Tennis Club Weissenhof"@en
<http://bk.sport.owl#letzigrund-stadium>,"Letzigrund"@en
<http://bk.sport.owl#guangzhou-international-tennis-center-tennis-stadium>,"Guangzhou International Tennis Center"@en
<http://bk.sport.owl#aalborg-portland-park-stadium>,"Aalborg Portland Park"@en
<http://bk.sport.owl#koning-willem-ii-stadion-stadium>,"Koning Willem II Stadion"@en
<http://bk.sport.owl#riverside-football-stadium>,"Riverside Stadium"@en
<http://bk.sport.owl#stadio-di-cornaredo-stadium>,"Stadio di Cornaredo"@en
