a,la
<http://bk.sport.owl#kepa>,"kepa"@en
<http://bk.sport.owl#kepa>,"Kepa"@en
<http://bk.sport.owl#marc-albrighton>,"marc albrighton"@en
<http://bk.sport.owl#marc-albrighton>,"Marc Albrighton"@en
<http://bk.sport.owl#marc-albrighton>,"Albrighton"
<http://bk.sport.owl#mauro-icardi>,"mauro icardi"@en
<http://bk.sport.owl#mauro-icardi>,"Mauro Icardi"@en
<http://bk.sport.owl#mauro-icardi>,"Icardi"
<http://bk.sport.owl#arsene-wenger>,"Arsene Wenger"@en
<http://bk.sport.owl#paulo-dybala>,"Paulo Dybala"@en
<http://bk.sport.owl#paulo-dybala>,"paulo dybala"@en
<http://bk.sport.owl#paulo-dybala>,"Dybala"
<http://bk.sport.owl#mario-gotze>,"Mario G\u00C3\u00B6tze"@en
<http://bk.sport.owl#mario-gotze>,"mario gotze"@en
<http://bk.sport.owl#mario-gotze>,"Gotze"
<http://bk.sport.owl#jose-mourinho>,"Jose Mourinho"@en
<http://bk.sport.owl#frenkie-de-jong>,"frenkie de jong"@en
<http://bk.sport.owl#frenkie-de-jong>,"Frenkie de Jong"@en
<http://bk.sport.owl#fabian-delph>,"Fabian Delph"@en
<http://bk.sport.owl#fabian-delph>,"fabian delph"@en
<http://bk.sport.owl#fabian-delph>,"Delph"
<http://bk.sport.owl#inter-milan>,"Inter Milan"@en
<http://bk.sport.owl#mario-balotelli>,"Mario Balotelli"@en
<http://bk.sport.owl#mario-balotelli>,"mario balotelli"@en
<http://bk.sport.owl#mario-balotelli>,"Balotelli"
<http://bk.sport.owl#manuel-neuer>,"manuel neuer"@en
<http://bk.sport.owl#manuel-neuer>,"Manuel Neuer"@en
<http://bk.sport.owl#manuel-neuer>,"Neuer"
<http://bk.sport.owl#gil>,"Gil"@en
<http://bk.sport.owl#bournemouth-fc>,"Bournemouth"@en
<http://bk.sport.owl#vfl-wolfsburg>,"VfL Wolfsburg"@en
<http://bk.sport.owl#marko-arnautovic>,"Marko Arnautovic"@en
<http://bk.sport.owl#marko-arnautovic>,"marko arnautovic"@en
<http://bk.sport.owl#marko-arnautovic>,"Arnautovic"
<http://bk.sport.owl#medhi-benatia>,"Medhi Benatia"@en
<http://bk.sport.owl#medhi-benatia>,"Benatia"
<http://bk.sport.owl#atletico-madrid>,"Atletico Madrid"@en
<http://bk.sport.owl#patrice-evra>,"Patrice Evra"@en
<http://bk.sport.owl#patrice-evra>,"Evra"
<http://bk.sport.owl#christian-pulisic>,"Christian Pulisic"@en
<http://bk.sport.owl#christian-pulisic>,"christian pulisic"@en
<http://bk.sport.owl#matthijs-de-ligt>,"matthijs de ligt"@en
<http://bk.sport.owl#matthijs-de-ligt>,"Matthijs de Ligt"@en
<http://bk.sport.owl#borussia-monchengladbach>,"Borussia Monchengladbach"@en
<http://bk.sport.owl#tottenham-hotspur>,"Tottenham Hotspur"@en
<http://bk.sport.owl#charlton-athletic-fc>,"Charlton Athletic"@en
<http://bk.sport.owl#everton-fc>,"Everton"@en
<http://bk.sport.owl#brighton-hove-albion>,"Brighton and Hove Albion"@en
<http://bk.sport.owl#wigan-athletic-fc>,"Wigan Athletic"@en
<http://bk.sport.owl#glen-johnson>,"Glen Johnson"@en
<http://bk.sport.owl#glen-johnson>,"Johnson"
<http://bk.sport.owl#felipe>,"felipe"@en
<http://bk.sport.owl#felipe>,"Felipe"@en
<http://bk.sport.owl#felipe>,"Felipe"
<http://bk.sport.owl#atletico-madrid-fc>,"Atletico Madrid"@en
<http://bk.sport.owl#miralem-pjanic>,"miralem pjanic"@en
<http://bk.sport.owl#miralem-pjanic>,"Miralem Pjanic"@en
<http://bk.sport.owl#miralem-pjanic>,"Pjanic"
<http://bk.sport.owl#crystal-palace>,"Crystal Palace"@en
<http://bk.sport.owl#hugo-lloris>,"Hugo Lloris"@en
<http://bk.sport.owl#hugo-lloris>,"hugo lloris"@en
<http://bk.sport.owl#hugo-lloris>,"Lloris"
<http://bk.sport.owl#leicester-city-fc>,"Leicester City"@en
<http://bk.sport.owl#barcelona-fc>,"Barcelona"@en
<http://bk.sport.owl#lucas-moura>,"lucas moura"@en
<http://bk.sport.owl#lucas-moura>,"Lucas Moura"@en
