a,la
<http://bk.sport.owl#victor-moses>,"victor moses"@en
<http://bk.sport.owl#victor-moses>,"Victor Moses"@en
<http://bk.sport.owl#victor-moses>,"Moses"
<http://bk.sport.owl#everton>,"Everton FC"@en
<http://bk.sport.owl#everton>,"Everton"@en
<http://bk.sport.owl#cristiano-ronaldo>,"Cristiano Ronaldo"@en
<http://bk.sport.owl#cristiano-ronaldo>,"cristiano ronaldo"@en
<http://bk.sport.owl#cristiano-ronaldo>,"Ronaldo"
<http://bk.sport.owl#gareth-bale>,"Gareth Bale"@en
<http://bk.sport.owl#gareth-bale>,"gareth bale"@en
<http://bk.sport.owl#gareth-bale>,"Bale"
<http://bk.sport.owl#luciano>,"Luciano"@en
<http://bk.sport.owl#jonathan-walters>,"jonathan walters"@en
<http://bk.sport.owl#jonathan-walters>,"Jonathan Walters"@en
<http://bk.sport.owl#jonathan-walters>,"Walters"
<http://bk.sport.owl#sergio-aguero>,"Sergio Aguero"@en
<http://bk.sport.owl#sergio-aguero>,"sergio aguero"@en
<http://bk.sport.owl#granit-xhaka>,"Granit Xhaka"@en
<http://bk.sport.owl#granit-xhaka>,"granit xhaka"@en
<http://bk.sport.owl#granit-xhaka>,"Xhaka"
<http://bk.sport.owl#wayne-rooney>,"Wayne Rooney"@en
<http://bk.sport.owl#wayne-rooney>,"Rooney"
<http://bk.sport.owl#manchester-city>,"Manchester City"@en
<http://bk.sport.owl#zlatan-ibrahimovic>,"Ibrahimovic"
<http://bk.sport.owl#zlatan-ibrahimovic>,"Zlatan Ibrahimovic"@en
<http://bk.sport.owl#tom-davies>,"Tom Davies"@en
<http://bk.sport.owl#tom-davies>,"tom davies"@en
<http://bk.sport.owl#athletic-bilbao>,"Athletic Bilbao"@en
<http://bk.sport.owl#romelu-lukaku>,"Romelu Lukaku"@en
<http://bk.sport.owl#romelu-lukaku>,"romelu lukaku"@en
<http://bk.sport.owl#romelu-lukaku>,"Lukaku"
<http://bk.sport.owl#eden-hazard>,"eden hazard"@en
<http://bk.sport.owl#eden-hazard>,"Eden Hazard"@en
<http://bk.sport.owl#eden-hazard>,"Hazard"
<http://bk.sport.owl#borussia-dortmund>,"Borussia Dortmund"@en
<http://bk.sport.owl#liverpool-fc>,"Liverpool"@en
<http://bk.sport.owl#juventus>,"Juventus FC"@en
<http://bk.sport.owl#juventus>,"Juventus"@en
<http://bk.sport.owl#leicester-city>,"Leicester City"@en
<http://bk.sport.owl#olivier-giroud>,"olivier giroud"@en
<http://bk.sport.owl#olivier-giroud>,"Olivier Giroud"@en
<http://bk.sport.owl#olivier-giroud>,"Giroud"
<http://bk.sport.owl#chelsea>,"Chelsea"@en
<http://bk.sport.owl#chelsea>,"Chelsea FC"@en
<http://bk.sport.owl#lionel-messi>,"lionel messi"@en
<http://bk.sport.owl#lionel-messi>,"Lionel Messi"@en
<http://bk.sport.owl#lionel-messi>,"Messi"
<http://bk.sport.owl#patrick-bamford>,"Patrick Bamford"@en
<http://bk.sport.owl#patrick-bamford>,"Bamford"
<http://bk.sport.owl#tottenham-hotspur-fc>,"Tottenham Hotspur"@en
<http://bk.sport.owl#wilfred-ndidi>,"Wilfred Ndidi"@en
<http://bk.sport.owl#wilfred-ndidi>,"wilfred ndidi"@en
<http://bk.sport.owl#dani-alves>,"Dani Alves"@en
<http://bk.sport.owl#dani-alves>,"dani alves"@en
<http://bk.sport.owl#dani-alves>,"Alves"
<http://bk.sport.owl#frank-lampard>,"Frank Lampard"@en
<http://bk.sport.owl#manchester-city-fc>,"Manchester City"@en
<http://bk.sport.owl#hugo>,"Hugo"@en
<http://bk.sport.owl#crystal-palace-fc>,"Crystal Palace"@en
<http://bk.sport.owl#watford-fc>,"Watford"@en
<http://bk.sport.owl#arsenal-fc>,"Arsenal"@en
<http://bk.sport.owl#riyad-mahrez>,"Riyad Mahrez"@en
<http://bk.sport.owl#riyad-mahrez>,"riyad mahrez"@en
<http://bk.sport.owl#riyad-mahrez>,"Mahrez"
<http://bk.sport.owl#borussia-monchengladbach-fc>,"Borussia Monchengladbach"@en
<http://bk.sport.owl#philippe-coutinho>,"Philippe Coutinho"@en
<http://bk.sport.owl#philippe-coutinho>,"philippe coutinho"@en
<http://bk.sport.owl#juventus-fc>,"Juventus"@en
<http://bk.sport.owl#dominic-solanke>,"dominic solanke"@en
<http://bk.sport.owl#dominic-solanke>,"Dominic Solanke"@en
<http://bk.sport.owl#manchester-united-fc>,"Manchester United"@en
<http://bk.sport.owl#bayern-munich>,"Bayern Munich"@en
<http://bk.sport.owl#victor-wanyama>,"victor wanyama"@en
<http://bk.sport.owl#victor-wanyama>,"Victor Wanyama"@en
<http://bk.sport.owl#victor-wanyama>,"Wanyama"
<http://bk.sport.owl#alex>,"alex"@en
<http://bk.sport.owl#alex>,"Alex"@en
<http://bk.sport.owl#alex>,"Alex"
<http://bk.sport.owl#ben-mee>,"Ben Mee"@en
<http://bk.sport.owl#ben-mee>,"ben mee"@en
<http://bk.sport.owl#wigan-athletic>,"Wigan Athletic"@en
<http://bk.sport.owl#sam-vokes>,"Sam Vokes"@en
<http://bk.sport.owl#neymar>,"neymar"@en
<http://bk.sport.owl#neymar>,"Neymar"@en
<http://bk.sport.owl#neymar>,"Neymar"
<http://bk.sport.owl#isco>,"isco"@en
<http://bk.sport.owl#isco>,"Isco"@en
<http://bk.sport.owl#isco>,"Isco"
<http://bk.sport.owl#pierre-emerick-aubameyang>,"Pierre-Emerick Aubameyang"@en
<http://bk.sport.owl#pierre-emerick-aubameyang>,"pierre emerick aubameyang"@en
<http://bk.sport.owl#pierre-emerick-aubameyang>,"Aubameyang"
<http://bk.sport.owl#marquinhos>,"Marquinhos"@en
<http://bk.sport.owl#marquinhos>,"marquinhos"@en
<http://bk.sport.owl#marquinhos>,"Marquinhos"
<http://bk.sport.owl#lucas-hernandez>,"lucas hernandez"@en
<http://bk.sport.owl#jadon-sancho>,"jadon sancho"@en
<http://bk.sport.owl#jadon-sancho>,"Jadon Sancho"@en
<http://bk.sport.owl#cesar-azpilicueta>,"Cesar Azpilicueta"@en
<http://bk.sport.owl#cesar-azpilicueta>,"cesar azpilicueta"@en
<http://bk.sport.owl#thibaut-courtois>,"Thibaut Courtois"@en
<http://bk.sport.owl#thibaut-courtois>,"thibaut courtois"@en
<http://bk.sport.owl#thibaut-courtois>,"Courtois"
<http://bk.sport.owl#mauricio-pochettino>,"Mauricio Pochettino"
<http://bk.sport.owl#mauricio-pochettino>,"Mauricio Pochettino"@en
<http://bk.sport.owl#theo-hernandez>,"theo hernandez"@en
<http://bk.sport.owl#franck-ribery>,"franck ribery"@en
<http://bk.sport.owl#franck-ribery>,"Franck Rib\u00C3\u00A9ry"@en
<http://bk.sport.owl#pablo-zabaleta>,"Pablo Zabaleta"@en
<http://bk.sport.owl#pablo-zabaleta>,"pablo zabaleta"@en
<http://bk.sport.owl#pablo-zabaleta>,"Zabaleta"
<http://bk.sport.owl#aek-athens>,"AEK Athens"@en
<http://bk.sport.owl#watford>,"Watford FC"@en
<http://bk.sport.owl#watford>,"Watford"@en
<http://bk.sport.owl#idrissa-gueye>,"idrissa gueye"@en
<http://bk.sport.owl#idrissa-gueye>,"Idrissa Gueye"@en
<http://bk.sport.owl#idrissa-gueye>,"Gueye"
<http://bk.sport.owl#shane-long>,"shane long"@en
<http://bk.sport.owl#shane-long>,"Shane Long"@en
<http://bk.sport.owl#shane-long>,"Long"
<http://bk.sport.owl#charlton-athletic>,"Charlton Athletic"@en
<http://bk.sport.owl#antoine-griezmann>,"Antoine Griezmann"@en
<http://bk.sport.owl#antoine-griezmann>,"antoine griezmann"@en
<http://bk.sport.owl#antoine-griezmann>,"Griezmann"
<http://bk.sport.owl#platini>,"platini"@en
<http://bk.sport.owl#platini>,"Platini"@en
<http://bk.sport.owl#mesut-ozil>,"mesut ozil"@en
<http://bk.sport.owl#mesut-ozil>,"ozil"
<http://bk.sport.owl#as-monaco>,"AS Monaco"@en
<http://bk.sport.owl#alexis-sanchez>,"alexis sanchez"@en
<http://bk.sport.owl#alexis-sanchez>,"Alexis Sanchez"@en
<http://bk.sport.owl#bournemouth>,"Bournemouth"@en
<http://bk.sport.owl#edinson-cavani>,"edinson cavani"@en
<http://bk.sport.owl#edinson-cavani>,"Edinson Cavani"@en
<http://bk.sport.owl#edinson-cavani>,"Cavani"
<http://bk.sport.owl#fc-luzern>,"FC Luzern"@en
<http://bk.sport.owl#manchester-united>,"Manchester United"@en
<http://bk.sport.owl#andrea-barzagli>,"Andrea Barzagli"@en
<http://bk.sport.owl#andrea-barzagli>,"andrea barzagli"@en
<http://bk.sport.owl#andrea-barzagli>,"Barzagli"
<http://bk.sport.owl#arsenal>,"Arsenal FC"@en
<http://bk.sport.owl#arsenal>,"Arsenal"@en
<http://bk.sport.owl#kyle-lafferty>,"kyle lafferty"@en
<http://bk.sport.owl#kyle-lafferty>,"Kyle Lafferty"@en
<http://bk.sport.owl#kyle-lafferty>,"Lafferty"
<http://bk.sport.owl#barcelona>,"Barcelona"@en
<http://bk.sport.owl#real-madrid>,"Real Madrid"@en
<http://bk.sport.owl#lyle-taylor>,"Lyle"@en
<http://bk.sport.owl#louis-van-gaal>,"Louis Van Gaal"@en
<http://bk.sport.owl#liverpool>,"Liverpool FC"@en
<http://bk.sport.owl#liverpool>,"Liverpool"@en
<http://bk.sport.owl#malaga>,"Malaga"@en
<http://bk.sport.owl#kevin-de-bruyne>,"kevin de bruyne"@en
<http://bk.sport.owl#kevin-de-bruyne>,"Kevin De Bruyne"@en
<http://bk.sport.owl#kevin-de-bruyne>,"Bruyne"
<http://bk.sport.owl#middlesbrough>,"Middlesbrough"@en
<http://bk.sport.owl#middlesbrough-fc>,"Middlesbrough"@en
<http://bk.sport.owl#chelsea-fc>,"Chelsea"@en
<http://bk.sport.owl#morgan-schneiderlin>,"Schneiderlin"
<http://bk.sport.owl#morgan-schneiderlin>,"Morgan Schneiderlin"@en
<http://bk.sport.owl#morgan-schneiderlin>,"morgan schneiderlin"@en
<http://bk.sport.owl#ajax-amsterdam>,"Ajax Amsterdam"@en
<http://bk.sport.owl#mario-barwuah-balotelli>,"Mario Barwuah Balotelli"@en
<http://bk.sport.owl#jamie-vardy>,"Jamie Vardy"@en
<http://bk.sport.owl#jamie-vardy>,"jamie vardy"@en
<http://bk.sport.owl#jamie-vardy>,"Vardy"
<http://bk.sport.owl#arjen-robben>,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,"Robben"
