a,la
<http://bk.sport.owl#swansea-city>,"Swansea City"@en
<http://bk.sport.owl#wolverhampton-wanderers-fc>,"Wolverhampton Wanderers"@en
<http://bk.sport.owl#sunderland-fc>,"Sunderland"@en
<http://bk.sport.owl#tottenham-hotspur>,"Tottenham Hotspur"@en
<http://bk.sport.owl#everton-fc>,"Everton"@en
<http://bk.sport.owl#everton>,"Everton FC"@en
<http://bk.sport.owl#everton>,"Everton"@en
<http://bk.sport.owl#manchester-city>,"Manchester City"@en
<http://bk.sport.owl#liverpool-fc>,"Liverpool"@en
<http://bk.sport.owl#fulham>,"Fulham"@en
<http://bk.sport.owl#chelsea>,"Chelsea"@en
<http://bk.sport.owl#chelsea>,"Chelsea FC"@en
<http://bk.sport.owl#tottenham-hotspur-fc>,"Tottenham Hotspur"@en
<http://bk.sport.owl#manchester-city-fc>,"Manchester City"@en
<http://bk.sport.owl#arsenal-fc>,"Arsenal"@en
<http://bk.sport.owl#manchester-united-fc>,"Manchester United"@en
<http://bk.sport.owl#wolverhampton-wanderers>,"Wolverhampton Wanderers"@en
<http://bk.sport.owl#newcastle-united>,"Newcastle United"@en
<http://bk.sport.owl#swansea-city-fc>,"Swansea City"@en
<http://bk.sport.owl#fulham-fc>,"Fulham"@en
<http://bk.sport.owl#newcastle-united-fc>,"Newcastle United"@en
<http://bk.sport.owl#manchester-united>,"Manchester United"@en
<http://bk.sport.owl#arsenal>,"Arsenal FC"@en
<http://bk.sport.owl#arsenal>,"Arsenal"@en
<http://bk.sport.owl#sunderland>,"Sunderland"@en
<http://bk.sport.owl#liverpool>,"Liverpool FC"@en
<http://bk.sport.owl#liverpool>,"Liverpool"@en
<http://bk.sport.owl#chelsea-fc>,"Chelsea"@en
