a,la
<http://bk.sport.owl#ballspielverein-borussia-dortmund-fc>,"Ballspielverein Borussia Dortmund"@en
<http://bk.sport.owl#allan-nyom>,"allan nyom"@en
<http://bk.sport.owl#allan-nyom>,"Allan Nyom"@en
<http://bk.sport.owl#allan-nyom>,"Nyom"
<http://bk.sport.owl#danny-murphy>,"Danny Murphy"@en
<http://bk.sport.owl#curtis-good>,"Good"
<http://bk.sport.owl#ben-watson>,"Ben Watson"@en
<http://bk.sport.owl#ben-watson>,"Watson"
<http://bk.sport.owl#dejan-lovren>,"dejan lovren"@en
<http://bk.sport.owl#dejan-lovren>,"Dejan Lovren"@en
<http://bk.sport.owl#dejan-lovren>,"Lovren"
<http://bk.sport.owl#vincent-laurini>,"Vincent Laurini"@en
<http://bk.sport.owl#vincent-laurini>,"vincent laurini"@en
<http://bk.sport.owl#vincent-laurini>,"Laurini"
<http://bk.sport.owl#nathan-redmond>,"nathan redmond"@en
<http://bk.sport.owl#nathan-redmond>,"Nathan Redmond"@en
<http://bk.sport.owl#nathan-redmond>,"Redmond"
<http://bk.sport.owl#andrea-ranocchia>,"Andrea Ranocchia"@en
<http://bk.sport.owl#andrea-ranocchia>,"andrea ranocchia"@en
<http://bk.sport.owl#andrea-ranocchia>,"Ranocchia"
<http://bk.sport.owl#kepa>,"kepa"@en
<http://bk.sport.owl#kepa>,"Kepa"@en
<http://bk.sport.owl#marc-albrighton>,"marc albrighton"@en
<http://bk.sport.owl#marc-albrighton>,"Marc Albrighton"@en
<http://bk.sport.owl#marc-albrighton>,"Albrighton"
<http://bk.sport.owl#vurnon-anita>,"Vurnon Anita"@en
<http://bk.sport.owl#vurnon-anita>,"vurnon anita"@en
<http://bk.sport.owl#vurnon-anita>,"Anita"
<http://bk.sport.owl#ado-den-haag>,"ADO Den Haag"@en
<http://bk.sport.owl#south-american-football-confederation>,"South American Football Confederation"@en
<http://bk.sport.owl#ben-amos>,"Ben Amos"@en
<http://bk.sport.owl#coventry-city-fc>,"Coventry City"@en
<http://bk.sport.owl#jakub-jankto>,"Jakub Jankto"@en
<http://bk.sport.owl#jakub-jankto>,"jakub jankto"@en
<http://bk.sport.owl#recio>,"Recio"@en
<http://bk.sport.owl#recio>,"recio"@en
<http://bk.sport.owl#recio>,"Recio"
<http://bk.sport.owl#nicky-ajose>,"Nicky Ajose"@en
<http://bk.sport.owl#pablo-fornals>,"pablo fornals"@en
<http://bk.sport.owl#pablo-fornals>,"Pablo Fornals"@en
<http://bk.sport.owl#shay-given>,"Shay Given"@en
<http://bk.sport.owl#shay-given>,"Given"
<http://bk.sport.owl#ali-al-habsi>,"Ali Al Habsi"@en
<http://bk.sport.owl#crewe-alexandra>,"Crewe Alexandra"@en
<http://bk.sport.owl#shani-tarashaj>,"shani tarashaj"@en
<http://bk.sport.owl#shani-tarashaj>,"Shani Tarashaj"@en
<http://bk.sport.owl#gary-medel>,"gary medel"@en
<http://bk.sport.owl#gary-medel>,"Gary Medel"@en
<http://bk.sport.owl#gary-medel>,"Medel"
<http://bk.sport.owl#chris-atkinson>,"Chris Atkinson"@en
<http://bk.sport.owl#adama-traore>,"Adama Traore"@en
<http://bk.sport.owl#adama-traore>,"adama traore"@en
<http://bk.sport.owl#sebastian-giovinco>,"Sebastian Giovinco"@en
<http://bk.sport.owl#diego-reyes>,"diego reyes"@en
<http://bk.sport.owl#diego-reyes>,"Diego Reyes"@en
<http://bk.sport.owl#diego-reyes>,"Reyes"
<http://bk.sport.owl#hannover-96>,"Hannover 96"@en
<http://bk.sport.owl#mats-hummels>,"mats hummels"@en
<http://bk.sport.owl#mats-hummels>,"Mats Hummels"@en
<http://bk.sport.owl#mats-hummels>,"Hummels"
<http://bk.sport.owl#allianz-stadium-stadium>,"Allianz Stadium"@en
<http://bk.sport.owl#raphael-varane>,"raphael varane"@en
<http://bk.sport.owl#drissa-traore>,"Drissa Traore"@en
<http://bk.sport.owl#karim-benzema>,"Karim Benzema"@en
<http://bk.sport.owl#karim-benzema>,"karim benzema"@en
<http://bk.sport.owl#karim-benzema>,"Benzema"
<http://bk.sport.owl#wout-weghorst>,"Wout Weghorst"@en
<http://bk.sport.owl#wout-weghorst>,"wout weghorst"@en
<http://bk.sport.owl#wembley-stadium-stadium>,"Wembley Stadium"@en
<http://bk.sport.owl#jermaine-pennant>,"Jermaine Pennant"@en
