a,la
<http://bk.sport.owl#adil-rami>,"Adil Rami"@en
<http://bk.sport.owl#adil-rami>,"adil rami"@en
<http://bk.sport.owl#adil-rami>,"Rami"
<http://bk.sport.owl#sergi-enrich>,"sergi enrich"@en
<http://bk.sport.owl#sergi-enrich>,"Sergi Enrich"@en
<http://bk.sport.owl#sergi-enrich>,"Enrich"
<http://bk.sport.owl#cordoba>,"Cordoba"@en
<http://bk.sport.owl#joshua-king>,"joshua king"@en
<http://bk.sport.owl#joshua-king>,"Joshua King"@en
<http://bk.sport.owl#joshua-king>,"King"
<http://bk.sport.owl#joleon-lescott>,"Joleon Lescott"@en
<http://bk.sport.owl#joleon-lescott>,"Lescott"
<http://bk.sport.owl#cesc-fabregas>,"Cesc F\u00C3\u00A0bregas"@en
<http://bk.sport.owl#cesc-fabregas>,"cesc fabregas"@en
<http://bk.sport.owl#cesc-fabregas>,"Cesc Fabregas"@en
<http://bk.sport.owl#mauro-icardi>,"mauro icardi"@en
<http://bk.sport.owl#mauro-icardi>,"Mauro Icardi"@en
<http://bk.sport.owl#mauro-icardi>,"Icardi"
<http://bk.sport.owl#sime-vrsaljko>,"\u00C5\u00A0ime Vrsaljko"@en
<http://bk.sport.owl#sime-vrsaljko>,"sime vrsaljko"@en
<http://bk.sport.owl#sime-vrsaljko>,"Sime Vrsaljko"@en
<http://bk.sport.owl#sime-vrsaljko>,"Vrsaljko"
<http://bk.sport.owl#oriol-romeu>,"Oriol Romeu"@en
<http://bk.sport.owl#oriol-romeu>,"oriol romeu"@en
<http://bk.sport.owl#oriol-romeu>,"Romeu"
<http://bk.sport.owl#emerson>,"Emerson"@en
<http://bk.sport.owl#emerson>,"emerson"@en
<http://bk.sport.owl#stanley-n'soki>,"Stanley N'Soki"@en
<http://bk.sport.owl#stanley-n'soki>,"stanley n'soki"@en
<http://bk.sport.owl#sergio-ramos>,"Sergio Ramos"@en
<http://bk.sport.owl#sergio-ramos>,"sergio ramos"@en
<http://bk.sport.owl#sergio-ramos>,"Ramos"
<http://bk.sport.owl#westham>,"West Ham"@en
<http://bk.sport.owl#bakary-sako>,"bakary sako"@en
<http://bk.sport.owl#bakary-sako>,"Bakary Sako"@en
<http://bk.sport.owl#bakary-sako>,"Sako"
<http://bk.sport.owl#joe-allen>,"Joe Allen"@en
<http://bk.sport.owl#joe-allen>,"Allen"
<http://bk.sport.owl#matt-targett>,"Matt Targett"@en
<http://bk.sport.owl#matt-targett>,"matt targett"@en
<http://bk.sport.owl#matt-targett>,"Targett"
<http://bk.sport.owl#kortney-hause>,"Kortney Hause"@en
<http://bk.sport.owl#jonathan-ikone>,"jonathan ikone"@en
<http://bk.sport.owl#kolo-toure>,"Kolo Toure"@en
<http://bk.sport.owl#felix-kroos>,"Felix Kroos"@en
<http://bk.sport.owl#felix-kroos>,"Kroos"
<http://bk.sport.owl#theo-walcott>,"theo walcott"@en
<http://bk.sport.owl#theo-walcott>,"Theo Walcott"@en
<http://bk.sport.owl#theo-walcott>,"Walcott"
<http://bk.sport.owl#sergio-pellissier>,"sergio pellissier"@en
<http://bk.sport.owl#sergio-pellissier>,"Sergio Pellissier"@en
<http://bk.sport.owl#sergio-pellissier>,"Pellissier"
<http://bk.sport.owl#riverside-football-stadium>,"Riverside Stadium"@en
<http://bk.sport.owl#fabricio-coloccini>,"Fabricio Coloccini"@en
<http://bk.sport.owl#fabricio-coloccini>,"Coloccini"
<http://bk.sport.owl#jose-holebas>,"jose holebas"@en
<http://bk.sport.owl#garry-monk>,"Garry Monk"@en
<http://bk.sport.owl#sc-freiburg>,"SC Freiburg"@en
<http://bk.sport.owl#arsene-wenger>,"Arsene Wenger"@en
<http://bk.sport.owl#tito>,"tito"@en
<http://bk.sport.owl#tito>,"Tito"@en
<http://bk.sport.owl#tito>,"Tito"
<http://bk.sport.owl#sead-kolasinac>,"sead kolasinac"@en
<http://bk.sport.owl#sead-kolasinac>,"Sead Kolasinac"@en
<http://bk.sport.owl#sead-kolasinac>,"Kolasinac"
<http://bk.sport.owl#kieran-trippier>,"kieran trippier"@en
<http://bk.sport.owl#kieran-trippier>,"Kieran Trippier"@en
<http://bk.sport.owl#kieran-trippier>,"Trippier"
<http://bk.sport.owl#leonardo-bonucci>,"Leonardo Bonucci"@en
<http://bk.sport.owl#leonardo-bonucci>,"leonardo bonucci"@en
<http://bk.sport.owl#leonardo-bonucci>,"Bonucci"
<http://bk.sport.owl#kasper-schmeichel>,"Kasper Schmeichel"@en
<http://bk.sport.owl#kasper-schmeichel>,"kasper schmeichel"@en
<http://bk.sport.owl#kasper-schmeichel>,"Schmeichel"
<http://bk.sport.owl#kwadwo-asamoah>,"Kwadwo Asamoah"@en
<http://bk.sport.owl#kwadwo-asamoah>,"kwadwo asamoah"@en
<http://bk.sport.owl#kwadwo-asamoah>,"Asamoah"
<http://bk.sport.owl#ricky-van-wolfswinkel>,"Wolfswinkel"
<http://bk.sport.owl#ricky-van-wolfswinkel>,"ricky van wolfswinkel"@en
<http://bk.sport.owl#ricky-van-wolfswinkel>,"Ricky van Wolfswinkel"@en
<http://bk.sport.owl#angel-di-maria>,"angel di maria"@en
<http://bk.sport.owl#angel-di-maria>,"Angel Di Maria"@en
<http://bk.sport.owl#loic-remy>,"Loic Remy"@en
<http://bk.sport.owl#loic-remy>,"loic remy"@en
<http://bk.sport.owl#bolton-wanderers-fc>,"Bolton Wanderers"@en
<http://bk.sport.owl#rajiv-van-la-parra>,"Rajiv Van La Parra"@en
<http://bk.sport.owl#rajiv-van-la-parra>,"Rajiv van La Parra"@en
<http://bk.sport.owl#jonathan-bamba>,"jonathan bamba"@en
<http://bk.sport.owl#jonathan-bamba>,"Jonathan Bamba"@en
<http://bk.sport.owl#jonathan-bamba>,"Bamba"
<http://bk.sport.owl#olympiakos-fc>,"Olympiakos"@en
<http://bk.sport.owl#jordan-ayew>,"jordan ayew"@en
<http://bk.sport.owl#jordan-ayew>,"Jordan Ayew"@en
<http://bk.sport.owl#jordan-ayew>,"Ayew"
<http://bk.sport.owl#fc-groningen>,"FC Groningen"@en
<http://bk.sport.owl#ogc-nice>,"OGC Nice"@en
<http://bk.sport.owl#eder>,"eder"@en
<http://bk.sport.owl#eder>,"Eder"@en
<http://bk.sport.owl#swansea-city>,"Swansea City"@en
<http://bk.sport.owl#adam-lallana>,"Adam Lallana"@en
<http://bk.sport.owl#adam-lallana>,"adam lallana"@en
<http://bk.sport.owl#adam-lallana>,"Lallana"
<http://bk.sport.owl#paulo-dybala>,"Paulo Dybala"@en
<http://bk.sport.owl#paulo-dybala>,"paulo dybala"@en
<http://bk.sport.owl#paulo-dybala>,"Dybala"
<http://bk.sport.owl#james-tarkowski>,"james tarkowski"@en
<http://bk.sport.owl#james-tarkowski>,"James Tarkowski"@en
<http://bk.sport.owl#pec-zwolle>,"PEC Zwolle"@en
<http://bk.sport.owl#steve-mandanda>,"Steve Mandanda"@en
<http://bk.sport.owl#steve-mandanda>,"steve mandanda"@en
<http://bk.sport.owl#steve-mandanda>,"Mandanda"
<http://bk.sport.owl#claudio-bravo>,"claudio bravo"@en
<http://bk.sport.owl#claudio-bravo>,"Claudio Bravo"@en
<http://bk.sport.owl#claudio-bravo>,"Bravo"
<http://bk.sport.owl#arthur>,"arthur"@en
<http://bk.sport.owl#arthur>,"Arthur"@en
<http://bk.sport.owl#lukasz-skorupski>,"lukasz skorupski"@en
<http://bk.sport.owl#lukasz-skorupski>,"Skorupski"
<http://bk.sport.owl#freddie-woodman>,"freddie woodman"@en
<http://bk.sport.owl#freddie-woodman>,"Freddie Woodman"@en
<http://bk.sport.owl#claudio-marchisio>,"Claudio Marchisio"@en
<http://bk.sport.owl#claudio-marchisio>,"claudio marchisio"@en
<http://bk.sport.owl#claudio-marchisio>,"Marchisio"
<http://bk.sport.owl#filip-kostic>,"filip kostic"@en
<http://bk.sport.owl#filip-kostic>,"Kostic"
<http://bk.sport.owl#the-welsh-beagle>,"Clwb Ifor Bach"@en
<http://bk.sport.owl#mario-gotze>,"Mario G\u00C3\u00B6tze"@en
<http://bk.sport.owl#mario-gotze>,"mario gotze"@en
<http://bk.sport.owl#mario-gotze>,"Gotze"
<http://bk.sport.owl#matt-doherty>,"matt doherty"@en
<http://bk.sport.owl#matt-doherty>,"Matt Doherty"@en
<http://bk.sport.owl#stevan-jovetic>,"Stevan Jovetic"@en
<http://bk.sport.owl#stevan-jovetic>,"stevan jovetic"@en
<http://bk.sport.owl#stevan-jovetic>,"Jovetic"
<http://bk.sport.owl#callum-o'dowda>,"Callum O'Dowda"@en
<http://bk.sport.owl#jose-mourinho>,"Jose Mourinho"@en
<http://bk.sport.owl#etihad-football-stadium>,"Etihad Stadium"@en
<http://bk.sport.owl#ben-foster>,"ben foster"@en
<http://bk.sport.owl#ben-foster>,"Ben Foster"@en
<http://bk.sport.owl#ben-foster>,"Foster"
<http://bk.sport.owl#bolton>,"PortoBolton"@en
<http://bk.sport.owl#luke-freeman>,"Luke Freeman"@en
<http://bk.sport.owl#ipswich>,"Ipswich"@en
<http://bk.sport.owl#troy-deeney>,"Troy Deeney"@en
<http://bk.sport.owl#troy-deeney>,"troy deeney"@en
<http://bk.sport.owl#troy-deeney>,"Deeney"
<http://bk.sport.owl#frenkie-de-jong>,"frenkie de jong"@en
<http://bk.sport.owl#frenkie-de-jong>,"Frenkie de Jong"@en
<http://bk.sport.owl#patrick-roberts>,"Patrick Roberts"@en
<http://bk.sport.owl#patrick-roberts>,"patrick roberts"@en
<http://bk.sport.owl#patrick-roberts>,"Roberts"
<http://bk.sport.owl#jose-mauri>,"jose mauri"@en
<http://bk.sport.owl#leeds-united>,"Leeds United"@en
<http://bk.sport.owl#fraser-forster>,"Fraser Forster"@en
<http://bk.sport.owl#fraser-forster>,"fraser forster"@en
<http://bk.sport.owl#fraser-forster>,"Forster"
<http://bk.sport.owl#nathan>,"nathan"@en
<http://bk.sport.owl#nathan>,"Nathan"@en
<http://bk.sport.owl#antonio-barragan>,"antonio barragan"@en
<http://bk.sport.owl#ashley-young>,"Ashley Young"@en
<http://bk.sport.owl#ashley-young>,"ashley young"@en
<http://bk.sport.owl#ashley-young>,"Young"
<http://bk.sport.owl#brentford-fc>,"Brentford"@en
<http://bk.sport.owl#koninklijke-racing-club-genk>,"Koninklijke Racing Club Genk"@en
<http://bk.sport.owl#ahmed-musa>,"Ahmed Musa"@en
<http://bk.sport.owl#lens-fc>,"Lens"@en
<http://bk.sport.owl#falcao>,"falcao"@en
<http://bk.sport.owl#falcao>,"Falcao"@en
<http://bk.sport.owl#falcao>,"Falcao"
<http://bk.sport.owl#stadium-of-light-football-stadium>,"Stadium of Light"@en
<http://bk.sport.owl#tiemoue-bakayoko>,"Tiemoue Bakayoko"@en
<http://bk.sport.owl#tiemoue-bakayoko>,"tiemoue bakayoko"@en
<http://bk.sport.owl#john-terry>,"John Terry"@en
<http://bk.sport.owl#john-terry>,"Terry"
<http://bk.sport.owl#vfl-wolfsburg-fc>,"VfL Wolfsburg"@en
<http://bk.sport.owl#simone-zaza>,"simone zaza"@en
<http://bk.sport.owl#simone-zaza>,"Simone Zaza"@en
<http://bk.sport.owl#simone-zaza>,"Zaza"
<http://bk.sport.owl#marco-asensio>,"marco asensio"@en
<http://bk.sport.owl#marco-asensio>,"Marco Asensio"@en
<http://bk.sport.owl#marco-asensio>,"Asensio"
<http://bk.sport.owl#jonathan>,"Jonathan"@en
<http://bk.sport.owl#pirmin-schwegler>,"Pirmin Schwegler"@en
<http://bk.sport.owl#pirmin-schwegler>,"pirmin schwegler"@en
<http://bk.sport.owl#pirmin-schwegler>,"Schwegler"
<http://bk.sport.owl#mohamed-salah>,"mohamed salah"@en
<http://bk.sport.owl#mohamed-salah>,"Mohamed Salah"@en
<http://bk.sport.owl#mohamed-salah>,"Salah"
<http://bk.sport.owl#fabian-delph>,"Fabian Delph"@en
<http://bk.sport.owl#fabian-delph>,"fabian delph"@en
<http://bk.sport.owl#fabian-delph>,"Delph"
<http://bk.sport.owl#wilfrid-kaptoum>,"wilfrid kaptoum"@en
<http://bk.sport.owl#levent-gulen>,"levent gulen"@en
<http://bk.sport.owl#aaron-wan-bissaka>,"Aaron Wan-Bissaka"@en
<http://bk.sport.owl#aaron-wan-bissaka>,"aaron wan bissaka"@en
<http://bk.sport.owl#matty-blair>,"Matty Blair"@en
<http://bk.sport.owl#ballspielverein-borussia-dortmund>,"Ballspielverein Borussia Dortmund"@en
<http://bk.sport.owl#lukasz-piszczek>,"Lukasz Piszczek"@en
<http://bk.sport.owl#lukasz-piszczek>,"lukasz piszczek"@en
<http://bk.sport.owl#lukasz-piszczek>,"Piszczek"
<http://bk.sport.owl#antonio-candreva>,"antonio candreva"@en
<http://bk.sport.owl#antonio-candreva>,"Antonio Candreva"@en
<http://bk.sport.owl#antonio-candreva>,"Candreva"
<http://bk.sport.owl#james-mccarthy>,"james mccarthy"@en
<http://bk.sport.owl#james-mccarthy>,"James McCarthy"@en
<http://bk.sport.owl#james-mccarthy>,"McCarthy"
<http://bk.sport.owl#phil-jagielka>,"phil jagielka"@en
<http://bk.sport.owl#phil-jagielka>,"Phil Jagielka"@en
<http://bk.sport.owl#phil-jagielka>,"Jagielka"
<http://bk.sport.owl#heurelho-gomes>,"Heurelho Gomes"@en
<http://bk.sport.owl#heurelho-gomes>,"heurelho gomes"@en
<http://bk.sport.owl#heurelho-gomes>,"Gomes"
<http://bk.sport.owl#celtic-park-stadium>,"Celtic Park"@en
<http://bk.sport.owl#valentin-vada>,"valentin vada"@en
<http://bk.sport.owl#thiago-silva>,"Thiago Silva"@en
<http://bk.sport.owl#thiago-silva>,"thiago silva"@en
<http://bk.sport.owl#thiago-silva>,"Silva"
<http://bk.sport.owl#laurent-koscielny>,"laurent koscielny"@en
<http://bk.sport.owl#laurent-koscielny>,"Laurent Koscielny"@en
<http://bk.sport.owl#laurent-koscielny>,"Koscielny"
<http://bk.sport.owl#sam-johnstone>,"Sam Johnstone"@en
<http://bk.sport.owl#sam-johnstone>,"Johnstone"
<http://bk.sport.owl#werder-bremen>,"Werder Bremen"@en
<http://bk.sport.owl#jony>,"Jony"@en
<http://bk.sport.owl#jony>,"jony"@en
<http://bk.sport.owl#jony>,"Jony"
<http://bk.sport.owl#ruben-neves>,"ruben neves"@en
<http://bk.sport.owl#doke-schmidt>,"Doke Schmidt"@en
<http://bk.sport.owl#doke-schmidt>,"doke schmidt"@en
<http://bk.sport.owl#eljero-elia>,"eljero elia"@en
<http://bk.sport.owl#eljero-elia>,"Eljero Elia"@en
<http://bk.sport.owl#ethan-horvath>,"Ethan Horvath"@en
<http://bk.sport.owl#ethan-horvath>,"ethan horvath"@en
<http://bk.sport.owl#amine-linganzi>,"Amine Linganzi"@en
<http://bk.sport.owl#kevin-prince-boateng>,"Kevin-Prince Boateng"@en
<http://bk.sport.owl#kevin-prince-boateng>,"kevin prince boateng"@en
<http://bk.sport.owl#kevin-prince-boateng>,"Boateng"
<http://bk.sport.owl#thomas-bruns>,"thomas bruns"@en
<http://bk.sport.owl#thomas-bruns>,"Thomas Bruns"@en
<http://bk.sport.owl#wolverhampton-wanderers-fc>,"Wolverhampton Wanderers"@en
<http://bk.sport.owl#sam-gallagher>,"Sam Gallagher"@en
<http://bk.sport.owl#sam-gallagher>,"sam gallagher"@en
<http://bk.sport.owl#luka-milivojevic>,"luka milivojevic"@en
<http://bk.sport.owl#luka-milivojevic>,"Luka Milivojevic"@en
<http://bk.sport.owl#tomas-rogic>,"Tomas Rogic"@en
<http://bk.sport.owl#joao-plata>,"Joao Plata"@en
<http://bk.sport.owl#nabil-dirar>,"Nabil Dirar"@en
<http://bk.sport.owl#nabil-dirar>,"nabil dirar"@en
<http://bk.sport.owl#nabil-dirar>,"Dirar"
<http://bk.sport.owl#moussa-sissoko>,"moussa sissoko"@en
<http://bk.sport.owl#moussa-sissoko>,"Moussa Sissoko"@en
<http://bk.sport.owl#moussa-sissoko>,"Sissoko"
<http://bk.sport.owl#jan-oblak>,"Jan Oblak"@en
<http://bk.sport.owl#jan-oblak>,"jan oblak"@en
<http://bk.sport.owl#jan-oblak>,"Oblak"
<http://bk.sport.owl#celtic-fc>,"Celtic"@en
<http://bk.sport.owl#inter-milan>,"Inter Milan"@en
<http://bk.sport.owl#alex-oxlade-chamberlain>,"Oxlade-Chamberlain"
<http://bk.sport.owl#alex-oxlade-chamberlain>,"Alex Oxlade-Chamberlain"@en
<http://bk.sport.owl#alex-oxlade-chamberlain>,"alex oxlade chamberlain"@en
<http://bk.sport.owl#federico-fernandez>,"federico fernandez"@en
<http://bk.sport.owl#jonjo-shelvey>,"jonjo shelvey"@en
<http://bk.sport.owl#jonjo-shelvey>,"Jonjo Shelvey"@en
<http://bk.sport.owl#jonjo-shelvey>,"Shelvey"
<http://bk.sport.owl#marco-reus>,"Marco Reus"@en
<http://bk.sport.owl#marco-reus>,"marco reus"@en
<http://bk.sport.owl#marco-reus>,"Reus"
<http://bk.sport.owl#yoan-cardinale>,"yoan cardinale"@en
<http://bk.sport.owl#yoan-cardinale>,"Yoan Cardinale"@en
<http://bk.sport.owl#yoan-cardinale>,"Cardinale"
<http://bk.sport.owl#us-open-championship>,"US Open Championship"@en
<http://bk.sport.owl#as-roma>,"AS Roma"@en
<http://bk.sport.owl#michael-mcglinchey>,"Michael McGlinchey"@en
<http://bk.sport.owl#craven-cottage-football-stadium>,"Craven Cottage"@en
<http://bk.sport.owl#vicente-guaita>,"vicente guaita"@en
<http://bk.sport.owl#vicente-guaita>,"Vicente Guaita"@en
<http://bk.sport.owl#vicente-guaita>,"Guaita"
<http://bk.sport.owl#mario-balotelli>,"Mario Balotelli"@en
<http://bk.sport.owl#mario-balotelli>,"mario balotelli"@en
<http://bk.sport.owl#mario-balotelli>,"Balotelli"
<http://bk.sport.owl#jamie-ward>,"Jamie Ward"@en
<http://bk.sport.owl#moussa-dembele>,"Moussa Dembele"@en
<http://bk.sport.owl#moussa-dembele>,"moussa dembele"@en
<http://bk.sport.owl#kenedy>,"Kenedy"@en
<http://bk.sport.owl#kenedy>,"kenedy"@en
<http://bk.sport.owl#cameron-jerome>,"Cameron Jerome"@en
<http://bk.sport.owl#cameron-jerome>,"cameron jerome"@en
<http://bk.sport.owl#cameron-jerome>,"Jerome"
<http://bk.sport.owl#danny-simpson>,"danny simpson"@en
<http://bk.sport.owl#danny-simpson>,"Danny Simpson"@en
<http://bk.sport.owl#danny-simpson>,"Simpson"
<http://bk.sport.owl#hirving-lozano>,"Hirving Lozano"@en
<http://bk.sport.owl#hirving-lozano>,"hirving lozano"@en
<http://bk.sport.owl#jack-colback>,"Jack Colback"@en
<http://bk.sport.owl#jack-colback>,"Colback"
<http://bk.sport.owl#grzegorz-krychowiak>,"grzegorz krychowiak"@en
<http://bk.sport.owl#grzegorz-krychowiak>,"Grzegorz Krychowiak"@en
<http://bk.sport.owl#grzegorz-krychowiak>,"Krychowiak"
<http://bk.sport.owl#giannis-skondras>,"Giannis Skondras"@en
<http://bk.sport.owl#giannis-skondras>,"giannis skondras"@en
<http://bk.sport.owl#kevin-malcuit>,"kevin malcuit"@en
<http://bk.sport.owl#sandro>,"sandro"@en
<http://bk.sport.owl#sandro>,"Sandro"@en
<http://bk.sport.owl#nacer-chadli>,"Nacer Chadli"@en
<http://bk.sport.owl#nacer-chadli>,"nacer chadli"@en
<http://bk.sport.owl#nacer-chadli>,"Chadli"
<http://bk.sport.owl#alexandre-lacazette>,"alexandre lacazette"@en
<http://bk.sport.owl#alexandre-lacazette>,"Alexandre Lacazette"@en
<http://bk.sport.owl#alexandre-lacazette>,"Lacazette"
<http://bk.sport.owl#charles-n-zogbia>,"Charles N'Zogbia"@en
<http://bk.sport.owl#charles-n-zogbia>,"N'Zogbia"
<http://bk.sport.owl#manuel-neuer>,"manuel neuer"@en
<http://bk.sport.owl#manuel-neuer>,"Manuel Neuer"@en
<http://bk.sport.owl#manuel-neuer>,"Neuer"
<http://bk.sport.owl#graham-dorrans>,"Graham Dorrans"@en
<http://bk.sport.owl#graham-dorrans>,"graham dorrans"@en
<http://bk.sport.owl#graham-dorrans>,"Dorrans"
<http://bk.sport.owl#millwall>,"Millwall"@en
<http://bk.sport.owl#gil>,"Gil"@en
<http://bk.sport.owl#asian-football-confederation>,"Asian Football Confederation"@en
<http://bk.sport.owl#bobby-grant>,"Bobby Grant"@en
<http://bk.sport.owl#vitality-stadium-stadium>,"Vitality Stadium"@en
<http://bk.sport.owl#dundee-united-fc>,"Dundee United"@en
<http://bk.sport.owl#omar-el-kaddouri>,"Omar El Kaddouri"@en
<http://bk.sport.owl#omar-el-kaddouri>,"omar el kaddouri"@en
<http://bk.sport.owl#omar-el-kaddouri>,"Kaddouri"
<http://bk.sport.owl#calum-chambers>,"Calum Chambers"@en
<http://bk.sport.owl#calum-chambers>,"calum chambers"@en
<http://bk.sport.owl#calum-chambers>,"Chambers"
<http://bk.sport.owl#keko>,"keko"@en
<http://bk.sport.owl#keko>,"Keko"
<http://bk.sport.owl#charlie-austin>,"Charlie Austin"@en
<http://bk.sport.owl#charlie-austin>,"charlie austin"@en
<http://bk.sport.owl#fc-bate-borisov-fc>,"FC BATE Borisov"@en
<http://bk.sport.owl#michel>,"michel"@en
<http://bk.sport.owl#michel>,"Michel"@en
<http://bk.sport.owl#christopher-nkunku>,"christopher nkunku"@en
<http://bk.sport.owl#christopher-nkunku>,"Christopher Nkunku"@en
<http://bk.sport.owl#robert-huth>,"Robert Huth"@en
<http://bk.sport.owl#robert-huth>,"Huth"
<http://bk.sport.owl#bournemouth-fc>,"Bournemouth"@en
<http://bk.sport.owl#alan-hutton>,"Alan Hutton"@en
<http://bk.sport.owl#alan-hutton>,"Hutton"
<http://bk.sport.owl#leonardo-ulloa>,"Leonardo Ulloa"@en
<http://bk.sport.owl#leonardo-ulloa>,"Ulloa"
<http://bk.sport.owl#alex-ferguson>,"Alex Ferguson"@en
<http://bk.sport.owl#anoeta-stadium>,"Anoeta"@en
<http://bk.sport.owl#vfl-wolfsburg>,"VfL Wolfsburg"@en
<http://bk.sport.owl#hartlepool-united-fc>,"Hartlepool United"@en
<http://bk.sport.owl#fc-utrecht>,"FC Utrecht"@en
<http://bk.sport.owl#gylfi-sigurdsson>,"Gylfi Sigurdsson"@en
<http://bk.sport.owl#gylfi-sigurdsson>,"gylfi sigurdsson"@en
<http://bk.sport.owl#gylfi-sigurdsson>,"Sigurdsson"
<http://bk.sport.owl#serie-a>,"Serie A"@en
<http://bk.sport.owl#bury-fc>,"Bury"@en
<http://bk.sport.owl#daniel-agger>,"Daniel Agger"@en
<http://bk.sport.owl#roberto-martinez>,"Roberto Martinez"@en
<http://bk.sport.owl#james-collins>,"James Collins"@en
<http://bk.sport.owl#james-collins>,"Collins"
<http://bk.sport.owl#ambroise-oyongo>,"ambroise oyongo"@en
<http://bk.sport.owl#emirates-stadium-stadium>,"Emirates Stadium"@en
<http://bk.sport.owl#javi-varas>,"javi varas"@en
<http://bk.sport.owl#javi-varas>,"Varas"
<http://bk.sport.owl#sheffield-wednesday-fc>,"Sheffield Wednesday"@en
<http://bk.sport.owl#walter>,"walter"@en
<http://bk.sport.owl#samuel-umtiti>,"samuel umtiti"@en
<http://bk.sport.owl#samuel-umtiti>,"Samuel Umtiti"@en
<http://bk.sport.owl#samuel-umtiti>,"Umtiti"
